id,reference,exposition,target_type,group_type,NMDS1,NMDS2,mean1,mean2
L1_01_2018,2018,south,hay_meadow,2018,-1.3540266849998592,-0.2924404439617661,-0.11340211503171282,-0.11907083492843955
L1_01_2019,2019,south,hay_meadow,2019,-0.2925792081522368,-0.22268243658053913,-0.5579864812065191,-0.11310545854624686
L1_01_2020,2020,south,hay_meadow,2020,-0.21138512399558526,0.10676534863361617,-0.11173635142972259,0.11953103169259205
L1_01_2021,2021,south,hay_meadow,2021,0.004625267388901982,0.09419612413255551,-0.02236579753931777,0.1905167811556726
L1_01_seeded,seeded,south,hay_meadow,seeded,0.7623260065725459,-0.6179653175651646,0.5377147617840167,-0.09756544043457768
L1_02_2018,2018,south,dry_grassland,2018,-1.4552088591484467,-0.10270907273488157,-0.11340211503171282,-0.11907083492843955
L1_02_2019,2019,south,dry_grassland,2019,-0.7637617924259062,0.4042424708527684,-0.5579864812065191,-0.11310545854624686
L1_02_2020,2020,south,dry_grassland,2020,-0.2509554550467848,0.7221562589904247,-0.11173635142972259,0.11953103169259205
L1_02_2021,2021,south,dry_grassland,2021,0.04685139039566636,0.48910805107742855,-0.02236579753931777,0.1905167811556726
L1_02_seeded,seeded,south,dry_grassland,seeded,0.9854213634713731,0.363679389502637,0.5377147617840167,-0.09756544043457768
L1_03_2018,2018,south,dry_grassland,2018,-1.331138605263493,-0.5106954893031692,-0.11340211503171282,-0.11907083492843955
L1_03_2019,2019,south,dry_grassland,2019,-0.7479934521010647,-0.7855942657147468,-0.5579864812065191,-0.11310545854624686
L1_03_2020,2020,south,dry_grassland,2020,-0.3713994404406268,0.7909839934298974,-0.11173635142972259,0.11953103169259205
L1_03_2021,2021,south,dry_grassland,2021,-0.07353577072055639,0.7821141358551245,-0.02236579753931777,0.1905167811556726
L1_03_seeded,seeded,south,dry_grassland,seeded,1.1829334864532437,0.2560541037294301,0.5377147617840167,-0.09756544043457768
L1_04_2018,2018,south,hay_meadow,2018,-1.0847365572069052,0.09650579957232538,-0.11340211503171282,-0.11907083492843955
L1_04_2019,2019,south,hay_meadow,2019,-0.6023140949002799,0.2982302924606513,-0.5579864812065191,-0.11310545854624686
L1_04_2020,2020,south,hay_meadow,2020,-0.4458683817246455,-0.08913680144416511,-0.11173635142972259,0.11953103169259205
L1_04_2021,2021,south,hay_meadow,2021,-0.03553517855048047,0.47630264061372135,-0.02236579753931777,0.1905167811556726
L1_04_seeded,seeded,south,hay_meadow,seeded,0.6795109099447516,-0.685285749934751,0.5377147617840167,-0.09756544043457768
L1_05_2018,2018,south,hay_meadow,2018,-1.1987086859707425,-0.3881011602032703,-0.11340211503171282,-0.11907083492843955
L1_05_2019,2019,south,hay_meadow,2019,-0.37737908827094524,0.04151751276198845,-0.5579864812065191,-0.11310545854624686
L1_05_2020,2020,south,hay_meadow,2020,-0.047218486484469566,0.38308287942140384,-0.11173635142972259,0.11953103169259205
L1_05_2021,2021,south,hay_meadow,2021,-0.20625911413322615,0.21422596610331357,-0.02236579753931777,0.1905167811556726
L1_05_seeded,seeded,south,hay_meadow,seeded,0.6661642558476412,-0.4755898982578759,0.5377147617840167,-0.09756544043457768
L1_06_2018,2018,south,dry_grassland,2018,-1.0429872743070423,-0.1498632369012375,-0.11340211503171282,-0.11907083492843955
L1_06_2019,2019,south,dry_grassland,2019,-0.7123994293751605,0.15795598573951095,-0.5579864812065191,-0.11310545854624686
L1_06_2020,2020,south,dry_grassland,2020,-0.15680541861357428,0.15474486709899676,-0.11173635142972259,0.11953103169259205
L1_06_2021,2021,south,dry_grassland,2021,-0.044823513275709034,0.28696629716461225,-0.02236579753931777,0.1905167811556726
L1_06_seeded,seeded,south,dry_grassland,seeded,1.1321181192914824,0.44437705327139304,0.5377147617840167,-0.09756544043457768
L1_07_2018,2018,south,hay_meadow,2018,-1.205294157135005,-0.025642964079281075,-0.11340211503171282,-0.11907083492843955
L1_07_2019,2019,south,hay_meadow,2019,-0.366174000741304,-0.051663628843685916,-0.5579864812065191,-0.11310545854624686
L1_07_2020,2020,south,hay_meadow,2020,-0.2958933782015413,0.1149902085288261,-0.11173635142972259,0.11953103169259205
L1_07_2021,2021,south,hay_meadow,2021,-0.04373230172223109,0.09051532974046524,-0.02236579753931777,0.1905167811556726
L1_07_seeded,seeded,south,hay_meadow,seeded,0.8525410502253086,-0.4915372216046505,0.5377147617840167,-0.09756544043457768
L1_08_2018,2018,south,dry_grassland,2018,-1.12940816523954,-0.2818538393779281,-0.11340211503171282,-0.11907083492843955
L1_08_2019,2019,south,dry_grassland,2019,-0.4480176351593227,0.09430969417016671,-0.5579864812065191,-0.11310545854624686
L1_08_2020,2020,south,dry_grassland,2020,-0.04894054176736454,0.29924803160503743,-0.11173635142972259,0.11953103169259205
L1_08_2021,2021,south,dry_grassland,2021,-0.2783485310547861,0.23958403204638692,-0.02236579753931777,0.1905167811556726
