plot,block,idTreatment,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,vegetationCov,botanist,bioMass,id,conf.low,conf.high,cwmAbuN,cwmAbuF,cwmAbuT,fdisAbuLHS,fdisAbuSla,cwmAbuSla,fdisAbuSeedmass,cwmAbuSeedmass,fdisAbuHeight,cwmAbuHeight,fdisAbuSrl,cwmAbuSrl,fdisAbuRmf,cwmAbuRmf,fdisAbuAll
L1_01,1,L_111,4,south,land,1,0,15,1,hay_meadow,4,2018,80,Jakob Huber,NA,L1_01_2018,1,1,4.169,4.183,5.763,1.078,0.328,20.788,0.623,1.776,0.589,0.444,0.395,183.099,0.451,0.49,1.201
L1_01,1,L_111,4,south,land,1,0,15,1,hay_meadow,4,2019,70,Linda Weggler,NA,L1_01_2019,2,2,4.184,3.984,6.83,0.926,0.189,21.536,0.726,0.42,0.513,0.292,0.872,388.595,0.854,0.25,1.448
L1_01,1,L_111,4,south,land,1,0,15,1,hay_meadow,4,2020,70,Jakob Huber,NA,L1_01_2020,3,3,2.21,3.644,5.961,1.053,0.411,20.285,0.82,0.741,0.331,0.223,0.379,213.466,0.478,0.35,1.002
L1_01,1,L_111,4,south,land,1,0,15,1,hay_meadow,4,2021,70,Markus Bauer,NA,L1_01_2021,4,4,3.014,3.028,5.007,0.096,0.013,17.195,0.078,4.545,0.051,0.491,0.047,150.566,0.063,0.483,0.117
L1_02,1,L_113,4,south,land,1,0,15,3,dry_grassland,4,2018,65,Jakob Huber,NA,L1_02_2018,5,5,3.074,3.109,5.09,0.393,0.115,17.736,0.284,3.775,0.228,0.458,0.264,135.487,0.307,0.454,0.472
L1_02,1,L_113,4,south,land,1,0,15,3,dry_grassland,4,2019,50,Linda Weggler,NA,L1_02_2019,6,6,5.185,4.087,5.692,1.037,0.124,19.766,0.582,0.155,0.769,0.276,0.885,263.914,1.031,0.341,1.563
L1_02,1,L_113,4,south,land,1,0,15,3,dry_grassland,4,2020,60,Jakob Huber,NA,L1_02_2020,7,7,4.692,4.17,5.842,0.972,0.235,20.847,0.773,0.602,0.334,0.369,0.386,182.619,0.903,0.425,1.285
L1_02,1,L_113,4,south,land,1,0,15,3,dry_grassland,4,2021,80,Markus Bauer,NA,L1_02_2021,8,8,4.353,3.606,5.788,1.289,0.573,18.298,0.885,0.435,0.54,0.742,0.689,151.617,0.493,0.46,1.204
L1_03,1,L_114,4,south,land,1,0,15,4,dry_grassland,8,2018,70,Jakob Huber,NA,L1_03_2018,9,9,3.025,3,6.058,0.973,0.259,15.999,0.35,0.161,0.81,0.456,1.126,355.905,0.686,0.499,1.102
L1_03,1,L_114,4,south,land,1,0,15,4,dry_grassland,8,2019,60,Linda Weggler,NA,L1_03_2019,10,10,1.942,2.585,6.672,0.982,0.265,15.514,0.329,0.337,0.789,0.24,0.406,191.918,0.356,0.365,0.814
L1_03,1,L_114,4,south,land,1,0,15,4,dry_grassland,8,2020,80,Jakob Huber,NA,L1_03_2020,11,11,3.26,3.168,5.451,0.846,0.33,19.328,0.527,2.281,0.407,0.42,0.159,150.423,0.583,0.39,1.067
L1_03,1,L_114,4,south,land,1,0,15,4,dry_grassland,8,2021,50,Markus Bauer,NA,L1_03_2021,12,12,2.883,3.261,6.619,0.962,0.405,18.041,0.428,0.709,0.678,0.26,0.522,205.844,0.416,0.366,1.032
L1_04,1,L_112,4,south,land,1,0,15,2,hay_meadow,8,2018,80,Jakob Huber,NA,L1_04_2018,13,13,4.162,3.597,5.992,0.34,0.208,23.873,0.163,2.311,0.135,0.352,0.103,220.493,0.523,0.347,0.646
L1_04,1,L_112,4,south,land,1,0,15,2,hay_meadow,8,2019,60,Linda Weggler,NA,L1_04_2019,14,14,4.158,4.224,5.922,0.387,0.118,22.369,0.292,2.558,0.171,0.34,0.352,199.124,0.172,0.419,0.436
L1_04,1,L_112,4,south,land,1,0,15,2,hay_meadow,8,2020,60,Jakob Huber,NA,L1_04_2020,15,15,5.059,4.64,5.979,1.371,0.337,20.982,1.071,0.507,0.566,0.441,0.573,157.862,0.459,0.463,1.348
L1_04,1,L_112,4,south,land,1,0,15,2,hay_meadow,8,2021,50,Markus Bauer,NA,L1_04_2021,16,16,4.36,3.89,6.165,0.609,0.248,20.883,0.434,1.567,0.24,0.378,0.304,204.114,0.254,0.441,0.697
L1_05,1,L_122,4,south,land,2,25,15,2,hay_meadow,8,2018,30,Jakob Huber,NA,L1_05_2018,17,17,3.178,3.177,6.054,0.988,0.299,18.527,0.588,1.11,0.583,0.342,0.229,171.993,0.522,0.422,1.485
L1_05,1,L_122,4,south,land,2,25,15,2,hay_meadow,8,2019,60,Linda Weggler,NA,L1_05_2019,18,18,5.903,5.19,5.759,0.842,0.249,22.94,0.62,1.274,0.344,0.497,0.576,219.655,0.311,0.524,0.89
L1_05,1,L_122,4,south,land,2,25,15,2,hay_meadow,8,2020,70,Jakob Huber,NA,L1_05_2020,19,19,5.267,5.833,5.323,0.904,0.522,21.648,0.419,1.493,0.594,0.576,0.44,164.613,0.576,0.453,1.056
L1_05,1,L_122,4,south,land,2,25,15,2,hay_meadow,8,2021,70,Markus Bauer,NA,L1_05_2021,20,20,5.66,4.971,5.984,1.381,0.333,23.095,1.129,0.291,0.564,0.521,0.961,141.52,0.423,0.401,1.453
L1_06,1,L_123,4,south,land,2,25,15,3,dry_grassland,4,2018,50,Jakob Huber,NA,L1_06_2018,21,21,3.833,4,5.941,1.295,0.317,21.017,0.886,0.883,0.768,0.345,0.506,152.201,0.497,0.357,1.413
L1_06,1,L_123,4,south,land,2,25,15,3,dry_grassland,4,2019,70,Linda Weggler,NA,L1_06_2019,22,22,3.712,3.839,6.392,1.5,0.467,19.607,0.89,0.262,0.936,0.293,0.665,141.737,0.28,0.332,1.524
L1_06,1,L_123,4,south,land,2,25,15,3,dry_grassland,4,2020,80,Jakob Huber,NA,L1_06_2020,23,23,7.006,4.03,6.333,0.112,0.09,17.708,0.043,0.572,0.02,0.55,0.026,161.252,0.023,0.18,0.041
