attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
plot,ID of the plot,NA,"L = land/1 = site/01 = plot number within this site/ plot W_5_08/09 is a plot between the plots W_5_08 and W_5_09 		",NA,NA,character,NA,NA
site,ID of the site,NA,NA,NA,NA,factor,1 = site in the east/2/3/4/5/6 = site in the west,NA
latitude,Coordinates Y of site (EPSG: 4326 / WGS84),NA,NA,degree,real,numeric,NA,NA
longitude,Coordinates X of site (EPSG: 4326 / WGS84),NA,NA,degree,real,numeric,NA,NA
elevation,Meters above sea level,NA,NA,meter,integer,numeric,NA,NA
plot_size,Size of the plot (2m x 2m),NA,NA,meterSquared,integer,numeric,NA,NA
exposition,Exposition of the plots,NA,NA,NA,NA,factor,north/south,NA
orientation,On which side is the plot on the dike?,NA,NA,NA,NA,factor,water/land,NA
sand_ratio,Ratio of sand of the total substrate in weigth percentage,NA,NA,percent,real,factor,0/25/50,NA
substrate_depth,"The depht of the built in substrate (holes were digged in the existing dike and filled with prepared substrate				)",NA,NA,centimeter,integer,factor,15/50,NA
target_type,Target vegetation of the seedmixture,NA,NA,NA,NA,factor,hay_meadow/dry_grassland,NA
seed_density,How dense were the seed mixtures seeded?,NA,NA,gramPerMeterSquared,integer,factor,4 vs. 8,NA
survey_year,Year of survey,NA,NA,NA,NA,factor,2018/2019/2020/2021,NA
botanist,Botanist for that plot,NA,Botanist for that plot,NA,NA,character,NA,NA
biomass,Total fresh biomass in survey_year_2019 (accumulated value of three subsamples),NA,NA,gram,real,numeric,NA,NA
survey_date,Date of survey or of seeding,YYYY-mm-dd,NA,NA,NA,date,NA,NA
id,ID of the plot in a special year,NA,"L = land/1 = site/01 = plot number within this site/ plot W_5_08/09 is a plot between the plots W_5_08 and W_5_09 		",NA,NA,character,NA,NA
graminoid_cover,Total accumulated cover of graminoids,NA,NA,percent,real,numeric,,NA
herb_cover,Total accumulated cover of herbs,NA,NA,percent,real,numeric,,NA
accumulated_cover,Total accumulated cover of all herbs and graminoids,NA,NA,percent,real,numeric,,NA
target_cover,Total accumulated cover of target species,NA,NA,percent,real,numeric,,NA
seeded_cover,Total accumulated cover of species which were seeded at this plot,NA,NA,percent,real,numeric,,NA
target_cover_ratio,Ratio of target_cover and accumulated_cover,NA,NA,dimensionless,real,numeric,,NA
graminoid_cover_ratio,Ratio of graminoid_cover and accumulated_cover,NA,NA,dimensionless,real,numeric,,NA
seeded_cover_ratio,Ratio of seeded_cover and accumulated_cover,NA,NA,dimensionless,real,numeric,,NA
species_richness,Amount of species per plot,NA,NA,dimensionless,integer,numeric,,NA
rlg_richness,Amount of red-list-Germany species per plot,NA,NA,dimensionless,integer,numeric,,NA
rlb_richness,Amount of red-list-Bavaria species per plot,NA,NA,dimensionless,integer,numeric,,NA
target_richness,Amount of target species per plot,NA,NA,dimensionless,integer,numeric,,NA
seeded_richness,Amount of species per plot which were seeded at this plot,NA,NA,dimensionless,integer,numeric,,NA
ffh6510_richness,Amount of species per plot which are on the list of FFH 6510,NA,NA,dimensionless,integer,numeric,,NA
ffh6210_richness,Amount of species per plot which are on the list of FFH 6210,NA,NA,dimensionless,integer,numeric,,NA
fcs_target,Favourable Conservation Status calculated for all species present at the plot,NA,NA,dimensionless,real,numeric,,Helm et al. (2015) Divers Distrib DOI: 10.1111/ddi.12285
fcs_seeded,Favourable Conservation Status calculated only for species which were initially seeded at this plot,NA,NA,dimensionless,real,numeric,,Helm et al. (2015) Divers Distrib DOI: 10.1111/ddi.12285
shannon,Shannon index,NA,NA,dimensionless,real,numeric,,"Shannon CE (1948) A mathematical theory of communication. - The Bell System Technical Journal 27, 379-423. https://doi.org/10.1002/j.1538-7305.1948.tb01338.x"
evenness,Evenness index = shannon / log(species_richness),NA,NA,dimensionless,real,numeric,,NA
esy,EUNIS Habitat Classification by the expert system (ESy),NA,EUNIS Habitat Classification by the expert system (ESy),NA,NA,character,NA,Chytrý et al. (2020) Appl Veg Sci DOI: 10.1111/avsc.12519
