id,plot,site,esy,reference,exposition,sand_ratio,substrate_depth,target_type,seed_density,survey_year,longitude,latitude,elevation,plot_size,botanist,givd_id,source,NMDS1,NMDS2,mean_reference,sd_reference,recovery_completeness
L1_01_2018,L1_01,1,V37,2018,south,0,15,hay_meadow,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.33619477272694,-0.30731994742612545,0.478,0.186,-1.814
L1_01_2019,L1_01,1,V37,2019,south,0,15,hay_meadow,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.25821187676783997,-0.22188924131375812,0.478,0.186,-0.736
L1_01_2020,L1_01,1,V37,2020,south,0,15,hay_meadow,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.14350349319987946,0.14695656423232764,0.478,0.186,-0.622
L1_01_2021,L1_01,1,R22,2021,south,0,15,hay_meadow,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,0.03954355510270631,0.10288505836152029,0.478,0.186,-0.438
L1_01_seeded,L1_01,1,R22,seeded,south,0,15,hay_meadow,4,seeded,1287752,4883856,314,6,NA,NA,experiment,0.8287496244540994,-0.5706175398567621,0.478,0.186,0.351
L1_02_2018,L1_02,1,V37,2018,south,0,15,dry_grassland,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.4591181264927764,-0.09699327449287408,0.512,0.337,-1.971
L1_02_2019,L1_02,1,V37,2019,south,0,15,dry_grassland,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.7516069664498024,0.4139656051352468,0.512,0.337,-1.264
L1_02_2020,L1_02,1,V37,2020,south,0,15,dry_grassland,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.17706037090124901,0.7400246489538768,0.512,0.337,-0.689
L1_02_2021,L1_02,1,R22,2021,south,0,15,dry_grassland,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,0.08748807127144201,0.49270190452542156,0.512,0.337,-0.425
L1_02_seeded,L1_02,1,R,seeded,south,0,15,dry_grassland,4,seeded,1287752,4883856,314,6,NA,NA,experiment,1.0135003216556813,0.37512926300467225,0.512,0.337,0.502
L1_03_2018,L1_03,1,V37,2018,south,0,15,dry_grassland,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.2868033511612278,-0.5630878632497064,0.512,0.337,-1.799
L1_03_2019,L1_03,1,R,2019,south,0,15,dry_grassland,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.6565838566621258,-0.8421070689531653,0.512,0.337,-1.169
L1_03_2020,L1_03,1,R,2020,south,0,15,dry_grassland,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.2992720367815002,0.8202336098367751,0.512,0.337,-0.811
L1_03_2021,L1_03,1,V37,2021,south,0,15,dry_grassland,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,0.014688489621915051,0.7672388863545111,0.512,0.337,-0.497
L1_03_seeded,L1_03,1,R1A,seeded,south,0,15,dry_grassland,8,seeded,1287752,4883856,314,6,NA,NA,experiment,1.2015557571063362,0.2698115604919868,0.512,0.337,0.69
L1_04_2018,L1_04,1,V37,2018,south,0,15,hay_meadow,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.077438800715452,0.09613316372808041,0.478,0.186,-1.555
L1_04_2019,L1_04,1,V37,2019,south,0,15,hay_meadow,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.5787440901420927,0.2981272300463798,0.478,0.186,-1.057
L1_04_2020,L1_04,1,V37,2020,south,0,15,hay_meadow,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.4134496694491894,-0.08361938093077188,0.478,0.186,-0.891
L1_04_2021,L1_04,1,V37,2021,south,0,15,hay_meadow,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,0.019602133729788775,0.4777552108789738,0.478,0.186,-0.458
L1_04_seeded,L1_04,1,R22,seeded,south,0,15,hay_meadow,8,seeded,1287752,4883856,314,6,NA,NA,experiment,0.7020586218630565,-0.7074272592662235,0.478,0.186,0.224
L1_05_2018,L1_05,1,V37,2018,south,25,15,hay_meadow,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.1788525081256866,-0.3965958969856457,0.478,0.186,-1.657
L1_05_2019,L1_05,1,V37,2019,south,25,15,hay_meadow,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.34802179119590854,0.04080262802906612,0.478,0.186,-0.826
L1_05_2020,L1_05,1,V37,2020,south,25,15,hay_meadow,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.0028223311094935683,0.3990805446124977,0.478,0.186,-0.481
L1_05_2021,L1_05,1,R,2021,south,25,15,hay_meadow,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.16819796186965566,0.21876240935684932,0.478,0.186,-0.646
L1_05_seeded,L1_05,1,R22,seeded,south,25,15,hay_meadow,8,seeded,1287752,4883856,314,6,NA,NA,experiment,0.7022045865613197,-0.47321339177435545,0.478,0.186,0.224
L1_06_2018,L1_06,1,V37,2018,south,25,15,dry_grassland,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.0262035018040072,-0.1560172885517407,0.512,0.337,-1.538
L1_06_2019,L1_06,1,V37,2019,south,25,15,dry_grassland,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.6944747328858918,0.16363572095321743,0.512,0.337,-1.206
L1_06_2020,L1_06,1,V37,2020,south,25,15,dry_grassland,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.13026743795857704,0.16375477103393762,0.512,0.337,-0.642
L1_06_2021,L1_06,1,V37,2021,south,25,15,dry_grassland,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.007649185416668815,0.2951854918942004,0.512,0.337,-0.52
L1_06_seeded,L1_06,1,R1A,seeded,south,25,15,dry_grassland,4,seeded,1287752,4883856,314,6,NA,NA,experiment,1.1554174118939307,0.46856660736826333,0.512,0.337,0.643
L1_07_2018,L1_07,1,V37,2018,south,25,15,hay_meadow,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.200196581298247,-0.023204761893891115,0.478,0.186,-1.678
L1_07_2019,L1_07,1,V37,2019,south,25,15,hay_meadow,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.3306566803450598,-0.0466754853090377,0.478,0.186,-0.809
L1_07_2020,L1_07,1,V37,2020,south,25,15,hay_meadow,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.2626766266247111,0.11915146150326862,0.478,0.186,-0.741
L1_07_2021,L1_07,1,R,2021,south,25,15,hay_meadow,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.028606699287257113,0.07976785905578294,0.478,0.186,-0.507
L1_07_seeded,L1_07,1,R22,seeded,south,25,15,hay_meadow,4,seeded,1287752,4883856,314,6,NA,NA,experiment,0.8921255035382722,-0.48329129599088,0.478,0.186,0.414
L1_08_2018,L1_08,1,V37,2018,south,25,15,dry_grassland,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.1229837587573284,-0.2862245465025167,0.512,0.337,-1.635
L1_08_2019,L1_08,1,V37,2019,south,25,15,dry_grassland,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.4075187500468104,0.09817379924089484,0.512,0.337,-0.92
L1_08_2020,L1_08,1,V37,2020,south,25,15,dry_grassland,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,0.008646272980995065,0.3313735975670889,0.512,0.337,-0.503
L1_08_2021,L1_08,1,V37,2021,south,25,15,dry_grassland,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.23579152279295607,0.25015523959701597,0.512,0.337,-0.748
L1_08_seeded,L1_08,1,R1A,seeded,south,25,15,dry_grassland,8,seeded,1287752,4883856,314,6,NA,NA,experiment,1.0998573470865922,0.35569408702530814,0.512,0.337,0.588
L1_09_2018,L1_09,1,V37,2018,south,50,15,hay_meadow,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.2519562940357296,0.03801185228046452,0.478,0.186,-1.73
L1_09_2019,L1_09,1,V37,2019,south,50,15,hay_meadow,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.5394365311424972,0.15821600782029283,0.478,0.186,-1.017
L1_09_2020,L1_09,1,V37,2020,south,50,15,hay_meadow,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.24184694104529228,0.4605265728035592,0.478,0.186,-0.72
L1_09_2021,L1_09,1,V37,2021,south,50,15,hay_meadow,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.13641397069063516,0.27211728515112177,0.478,0.186,-0.614
L1_09_seeded,L1_09,1,R22,seeded,south,50,15,hay_meadow,4,seeded,1287752,4883856,314,6,NA,NA,experiment,0.6775614684138737,-0.5910038910440908,0.478,0.186,0.2
L1_10_2018,L1_10,1,V37,2018,south,50,15,hay_meadow,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.050165383582992,-0.20054463641716358,0.478,0.186,-1.528
L1_10_2019,L1_10,1,V37,2019,south,50,15,hay_meadow,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.4203075930907467,0.22654694386874358,0.478,0.186,-0.898
L1_10_2020,L1_10,1,V37,2020,south,50,15,hay_meadow,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.3520409204632486,0.29286358093828907,0.478,0.186,-0.83
L1_10_2021,L1_10,1,V37,2021,south,50,15,hay_meadow,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.11651802158480618,0.24448793230021468,0.478,0.186,-0.595
L1_10_seeded,L1_10,1,R22,seeded,south,50,15,hay_meadow,8,seeded,1287752,4883856,314,6,NA,NA,experiment,0.8918975940101646,-0.4138937812916936,0.478,0.186,0.414
L1_11_2018,L1_11,1,V37,2018,south,50,15,dry_grassland,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.8264868370862498,-0.24976771587072716,0.512,0.337,-1.338
L1_11_2019,L1_11,1,V37,2019,south,50,15,dry_grassland,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.2564047214270374,-0.038827158708401116,0.512,0.337,-0.768
L1_11_2020,L1_11,1,V37,2020,south,50,15,dry_grassland,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.11530264377988873,0.23748119237414142,0.512,0.337,-0.627
L1_11_2021,L1_11,1,R1A,2021,south,50,15,dry_grassland,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.1310885899749503,0.2552117691922033,0.512,0.337,-0.643
L1_11_seeded,L1_11,1,R1A,seeded,south,50,15,dry_grassland,4,seeded,1287752,4883856,314,6,NA,NA,experiment,0.8822402467121447,0.47663327959227797,0.512,0.337,0.37
L1_12_2018,L1_12,1,V37,2018,south,50,15,dry_grassland,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.0872287029111374,0.07850798325400839,0.512,0.337,-1.599
L1_12_2019,L1_12,1,V38,2019,south,50,15,dry_grassland,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.5638869384148867,0.46896951924397,0.512,0.337,-1.076
L1_12_2020,L1_12,1,V38,2020,south,50,15,dry_grassland,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.16934180100625795,0.5546896632827286,0.512,0.337,-0.681
L1_12_2021,L1_12,1,V38,2021,south,50,15,dry_grassland,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.44321322743158725,0.811317836458609,0.512,0.337,-0.955
L1_12_seeded,L1_12,1,R1A,seeded,south,50,15,dry_grassland,8,seeded,1287752,4883856,314,6,NA,NA,experiment,0.6429689660509466,0.6508247266173595,0.512,0.337,0.131
