id,plot,site,latitude,longitude,elevation,plot_size,exposition,orientation,sand_ratio,substrate_depth,target_type,seed_density,survey_year,vegetation_cover,botanist,biomass,survey_date,graminoid_cover,herb_cover,accumulated_cover,target_cover,seeded_cover,target_cover_ratio,graminoid_cover_ratio,seeded_cover_ratio,species_richness,rlg_richness,rlb_richness,target_richness,seeded_richness,ffh6510_richness,ffh6210_richness,fcs_target,fcs_seeded,shannon,evenness,esy,fdis_abu_lhs,cwm_abu_sla,cwm_abu_seedmass,cwm_abu_height
L1_01_2018,L1_01,1,4883856,1287752,314,4,south,land,0,15,hay_meadow,4,2018,80,Jakob Huber,NA,2018-07-21,0,83.5,83.5,0,0,0,0,0,5,0,0,0,0,0,0,-1.792,-1.792,0.222,0.138,V37,0.111,17.708,0.572,0.55
L1_01_2019,L1_01,1,4883856,1287752,314,4,south,land,0,15,hay_meadow,4,2019,70,Linda Weggler,NA,2019-06-26,11,56,67,19,3.5,0.284,0.164,0.052,20,0,0,10,7,5,1,0,-0.56,2.252,0.752,V37,1.149,23.067,1.37,0.405
L1_01_2020,L1_01,1,4883856,1287752,314,4,south,land,0,15,hay_meadow,4,2020,70,Jakob Huber,NA,2020-06-13,33.5,34.5,68,40.5,7,0.596,0.493,0.103,17,1,0,9,4,4,2,0.105,-1.03,1.96,0.692,V37,1.198,25.335,2.651,0.287
L1_01_2021,L1_01,1,4883856,1287752,314,4,south,land,0,15,hay_meadow,4,2021,70,Markus Bauer,NA,2021-07-05,37,50,87,50.5,8.5,0.58,0.425,0.098,26,0,0,17,7,9,3,0.588,-0.916,2.641,0.81,R22,1.206,24.283,2.249,0.399
L1_01_seeded,L1_01,1,4883856,1287752,314,4,south,land,0,15,hay_meadow,4,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,0,0,20,NA,12,2,3.045,NA,2.848,0.951,R22,1.182,24.303,0.984,0.368
L1_02_2018,L1_02,1,4883856,1287752,314,4,south,land,0,15,dry_grassland,4,2018,65,Jakob Huber,NA,2018-07-21,0.5,64,64.5,0,0,0,0.008,0,5,0,0,0,0,0,0,-1.792,-1.792,0.323,0.201,V37,0.268,17.768,0.674,0.565
L1_02_2019,L1_02,1,4883856,1287752,314,4,south,land,0,15,dry_grassland,4,2019,50,Linda Weggler,NA,2019-06-26,1,51,52,16,15.5,0.308,0.019,0.298,12,0,0,3,2,2,0,-0.916,-1.299,1.565,0.63,V37,1.372,21.339,3.232,0.492
L1_02_2020,L1_02,1,4883856,1287752,314,4,south,land,0,15,dry_grassland,4,2020,60,Jakob Huber,NA,2020-06-13,25.5,40,65.5,32,6,0.489,0.389,0.092,17,1,0,6,3,4,0,-0.539,-1.322,1.846,0.651,V37,1.268,25.173,3.347,0.349
L1_02_2021,L1_02,1,4883856,1287752,314,4,south,land,0,15,dry_grassland,4,2021,80,Markus Bauer,NA,2021-07-05,26,66,92,50.5,24,0.549,0.283,0.261,20,1,0,10,3,5,1,0,-1.504,2.182,0.728,R22,1.275,25.196,1.317,0.319
L1_02_seeded,L1_02,1,4883856,1287752,314,4,south,land,0,15,dry_grassland,4,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,4,1,20,NA,4,6,3.045,NA,2.848,0.951,R,1.009,19.432,0.777,0.29
L1_03_2018,L1_03,1,4883856,1287752,314,4,south,land,0,15,dry_grassland,8,2018,70,Jakob Huber,NA,2018-07-21,0,71,71,0.5,0.5,0.007,0,0.007,7,0,1,1,1,0,0,-1.253,-1.253,0.422,0.217,V37,0.222,17.993,0.603,0.553
L1_03_2019,L1_03,1,4883856,1287752,314,4,south,land,0,15,dry_grassland,8,2019,60,Linda Weggler,NA,2019-06-26,0.5,59.5,60,41.5,40.5,0.692,0.008,0.675,8,0,1,4,2,1,0,0,-0.847,1.085,0.522,R,0.563,25.504,3.157,0.687
L1_03_2020,L1_03,1,4883856,1287752,314,4,south,land,0,15,dry_grassland,8,2020,80,Jakob Huber,NA,2020-06-13,1.5,84.5,86,78,76,0.907,0.017,0.884,17,0,1,7,3,2,0,-0.318,-1.322,0.713,0.252,R,0.272,26.54,2.082,0.647
L1_03_2021,L1_03,1,4883856,1287752,314,4,south,land,0,15,dry_grassland,8,2021,50,Markus Bauer,NA,2021-07-05,22,39,61,35.5,22,0.582,0.361,0.361,16,0,1,7,2,2,1,-0.223,-1.609,2.112,0.762,V37,1.086,25.53,2.321,0.47
L1_03_seeded,L1_03,1,4883856,1287752,314,4,south,land,0,15,dry_grassland,8,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,3,1,20,NA,3,6,3.045,NA,2.848,0.951,R1A,1.154,20.441,0.741,0.282
L1_04_2018,L1_04,1,4883856,1287752,314,4,south,land,0,15,hay_meadow,8,2018,80,Jakob Huber,NA,2018-07-21,1,81.5,82.5,0,0,0,0.012,0,6,0,0,0,0,0,0,-1.946,-1.946,0.185,0.103,V37,0.097,17.521,0.596,0.549
L1_04_2019,L1_04,1,4883856,1287752,314,4,south,land,0,15,hay_meadow,8,2019,60,Linda Weggler,NA,2019-06-26,3.5,58.5,62,5.5,0.5,0.089,0.056,0.008,13,0,1,6,1,1,1,-0.134,-1.872,1.431,0.558,V37,1.271,21.182,2.106,0.367
L1_04_2020,L1_04,1,4883856,1287752,314,4,south,land,0,15,hay_meadow,8,2020,60,Jakob Huber,NA,2020-06-13,41,23.5,64.5,43,1.5,0.667,0.636,0.023,18,0,0,7,3,4,2,-0.405,-1.386,1.308,0.453,V37,1.469,23.602,1.225,0.302
L1_04_2021,L1_04,1,4883856,1287752,314,4,south,land,0,15,hay_meadow,8,2021,50,Markus Bauer,NA,2021-07-05,20,40.5,60.5,24,6.5,0.397,0.331,0.107,16,0,0,10,3,6,2,0.452,-1.253,2.311,0.834,V37,1.519,23.004,1.438,0.289
L1_04_seeded,L1_04,1,4883856,1287752,314,4,south,land,0,15,hay_meadow,8,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,0,0,20,NA,11,2,3.045,NA,2.848,0.951,R22,1.189,23.694,0.598,0.403
L1_05_2018,L1_05,1,4883856,1287752,314,4,south,land,25,15,hay_meadow,8,2018,30,Jakob Huber,NA,2018-07-21,0.5,32.5,33,0.5,0.5,0.015,0.015,0.015,7,0,0,1,1,1,0,-1.253,-1.253,0.468,0.24,V37,0.274,25.269,9.4,0.211
L1_05_2019,L1_05,1,4883856,1287752,314,4,south,land,25,15,hay_meadow,8,2019,60,Linda Weggler,NA,2019-06-26,0.5,62.5,63,29.5,13,0.468,0.008,0.206,20,2,0,11,7,5,1,0.182,-0.56,1.904,0.636,V37,1.094,20.894,2.783,0.295
L1_05_2020,L1_05,1,4883856,1287752,314,4,south,land,25,15,hay_meadow,8,2020,70,Jakob Huber,NA,2020-06-13,30.5,37,67.5,39.5,5.5,0.585,0.452,0.081,23,1,1,14,8,7,0,0.405,-0.575,1.79,0.571,V37,0.868,25.3,3.467,0.226
L1_05_2021,L1_05,1,4883856,1287752,314,4,south,land,25,15,hay_meadow,8,2021,70,Markus Bauer,NA,2021-07-05,12,58,70,24,15.5,0.343,0.171,0.221,16,1,0,10,6,4,1,0.452,-0.452,2.208,0.796,R,1.155,22.837,2.382,0.286
L1_05_seeded,L1_05,1,4883856,1287752,314,4,south,land,25,15,hay_meadow,8,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,1,0,20,NA,13,1,3.045,NA,2.848,0.951,R22,1.174,23.456,0.639,0.355
L1_06_2018,L1_06,1,4883856,1287752,314,4,south,land,25,15,dry_grassland,4,2018,50,Jakob Huber,NA,2018-07-21,1,53,54,0,0,0,0.019,0,8,0,0,0,0,0,0,-2.197,-2.197,0.969,0.466,V37,0.944,25.329,8.342,0.283
L1_06_2019,L1_06,1,4883856,1287752,314,4,south,land,25,15,dry_grassland,4,2019,70,Linda Weggler,NA,2019-06-26,1.5,69,70.5,11.5,0,0.163,0.021,0,16,0,0,4,0,2,0,-0.956,-2.833,1.763,0.636,V37,1.301,23.64,5.811,0.415
L1_06_2020,L1_06,1,4883856,1287752,314,4,south,land,25,15,dry_grassland,4,2020,80,Jakob Huber,NA,2020-06-13,26.5,51,77.5,36.5,0.5,0.471,0.342,0.006,19,0,0,11,1,7,1,0.288,-2.251,1.883,0.639,V37,1.39,24.828,5.424,0.355
L1_06_2021,L1_06,1,4883856,1287752,314,4,south,land,25,15,dry_grassland,4,2021,90,Markus Bauer,NA,2021-07-05,17,84.5,101.5,16.5,4.5,0.163,0.167,0.044,18,0,0,11,2,4,2,0.405,-1.735,2.054,0.711,V37,1.784,24.321,3.788,0.535
L1_06_seeded,L1_06,1,4883856,1287752,314,4,south,land,25,15,dry_grassland,4,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,6,0,20,NA,4,6,3.045,NA,2.848,0.951,R1A,1.118,20.329,0.764,0.32
L1_07_2018,L1_07,1,4883856,1287752,314,4,south,land,25,15,hay_meadow,4,2018,75,Jakob Huber,NA,2018-07-21,1,74.5,75.5,0,0,0,0.013,0,8,0,1,0,0,0,0,-2.197,-2.197,0.603,0.29,V37,0.532,25.15,8.506,0.236
