name,abb,family,group,rlg,rlb,neophyte,t,f,r,n,ffh6510,ffh6210,biotope_target,table_31,table_34,table_35,table_36,mapped_2011,special_target,seed_availability,seeded_hay_meadow,seeded_dry_grassland,target,seeded,rate_2018,rate_2019,rate_2020,rate_2021,total_seeded_2018,total_established_2018,total_established_2019,total_established_2020,total_established_2021,sla,seedmass,height
Acer_campestre,Acercamp,Sapindaceae,tree,no,no,no,6,5,7,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,60.3,12
Acer_platanoides,Acerplat,Sapindaceae,tree,no,no,no,6,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.747,109.94,25
Acer_pseudoplatanus,Acerpseu,Sapindaceae,tree,no,no,no,NA,6,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.29,44.8,27.5
Achillea_millefolium,Achimill,Asteraceae,herb,no,no,no,NA,4,NA,5,1,0,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,0.34,0.49,0.58,0.48,85,29,42,49,41,19.475,0.136,0.395
Aegopodium_podagraria,Aegopoda,Apiaceae,herb,no,no,no,5,6,7,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8,1.54,0.575
Agrimonia_eupatoria,Agrieupa,Rosaceae,herb,no,no,no,6,4,8,4,0,0,1,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,0.22,0.31,0.44,36,0,8,11,16,17.675,21.079,0.3
Agrostis_capillaris,Agrocapi,Poaceae,sub-grass,no,no,no,NA,NA,4,4,0,0,1,NA,4,NA,NA,NA,NA,1,1,1,1,1,0,0.02,0.01,0.17,160,0,3,1,28,28.53,0.063,0.25
Agrostis_stolonifera,Agrostol,Poaceae,sub-grass,no,no,no,NA,NA,NA,5,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.19,0.048,0.475
Ajuga_reptans,Ajugrept,Lamiaceae,herb,no,no,no,NA,6,6,6,1,0,1,NA,NA,NA,1,NA,0,1,1,0,1,1,0.03,0.12,0.06,0.12,34,1,4,2,4,32,1.47,0.185
Alchemilla_vulgaris,Alchvulg,Rosaceae,herb,no,no,no,NA,NA,NA,NA,1,0,0,NA,NA,NA,1,0,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.65,0.721,0.37
Allium_scorodoprasum,Alliscor,Amaryllidaceae,herb,no,3,no,6,7,7,7,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,1.495,0.55
Alopecurus_myosuroides,Alopmyos,Poaceae,grass,no,no,no,6,5,7,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,1.995,0.3
Alopecurus_pratensis,Alopprat,Poaceae,top-grass,no,no,no,NA,6,6,7,1,0,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0.04,0.02,0.02,56,0,2,1,1,23.7,0.674,0.45
Amaranthus_retroflexus,Amarretr,Amaranthaceae,herb,no,no,no,7,5,7,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.74,0.413,0.475
Anagallis_arvensis,Anagarve,Primulaceae,herb,no,no,no,6,5,NA,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,0.431,0.138
Angelica_sylvestris,Angesylv,Apiaceae,herb,no,no,no,NA,8,NA,NA,0,0,0,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7,2.96,0.9
Anthericum_ramosum,Anthramo,Asparagaceae,herb,V,no,no,5,3,7,3,0,0,1,NA,2,2,NA,NA,NA,1,0,1,1,1,0,0,0,0,38,0,0,0,0,23.51,5.111,0.288
Anthoxanthum_odoratum,Anthodor,Poaceae,sub-grass,no,no,no,NA,NA,5,NA,1,0,1,4,4,NA,NA,NA,NA,1,1,1,1,1,0,0.18,0.33,0.31,158,0,28,52,49,30.03,0.627,0.165
Anthyllis_vulneraria,Anthvuln,Fabaceae,legume,no,no,no,6,3,7,2,0,1,1,NA,2,3,1,NA,NA,1,0,1,1,1,0.33,0.49,0.61,0.33,61,20,30,37,20,15.9,3.28,0.2
Apera_spica-venti,Aperspic,Poaceae,grass,no,no,no,6,6,5,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,0.119,0.55
Arabis_hirsuta,Arabhirs,Brassicaceae,herb,V,no,no,5,4,8,NA,0,1,1,NA,3,NA,1,NA,NA,1,0,1,1,1,0,0.21,0,0,38,0,8,0,0,26.9,0.098,0.34
Arenaria_serpyllifolia,Arenserp,Caryophyllaceae,herb,no,no,no,NA,4,7,NA,0,0,0,NA,3,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.08,0.063,0.165
Arrhenatherum_elatius,Arrhelat,Poaceae,top-grass,no,no,no,5,5,7,7,1,0,1,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0.16,0.41,0.46,0.44,144,23,59,66,64,29.035,2.774,1.35
Artemisia_vulgaris,Artevulg,Asteraceae,herb,no,no,no,6,6,NA,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,0.127,1.4
Asperula_cynanchica,Aspecyna,Rubiaceae,herb,V,no,no,NA,3,8,3,0,0,1,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,0.25,0.17,0.06,36,0,9,6,2,28.06,0.965,0.238
Avena_fatua,Avenfatu,Poaceae,grass,no,no,no,6,5,7,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.65,23.294,0.75
Barbarea_vulgaris,Barbvulg,Brassicaceae,herb,no,no,no,6,6,NA,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.65,0.556,0.475
Bellis_perennis,Bellpere,Asteraceae,herb,no,no,no,NA,5,NA,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,0.108,0.055
