attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
name,Botanical species name,NA,botanical species name,NA,NA,character,NA,NA
abb,Abbreviation of name column,NA,Abbreviation of name column,NA,NA,character,NA,NA
family,Family of plant species (WFO 2022),NA,family of plant species from worldfloraonline.org,NA,NA,character,NA,WFO (2022) World Flora Online. URL http://www.worldfloraonline.org
group,Grass-herb-legume groups,NA,NA,NA,NA,factor,top_grass/sub_grass/legume/herb,NA
rlg,Red list Germany (BfN 2018),NA,NA,NA,NA,factor,NA = not threatened/V = warning list/3/2/1,BfN (Bundesamt fuer Naturschutz) (2018) Rote Liste gefaehrdeter Tiere Pflanzen und Pilze Deutschlands. Band 7: Pflanzen. ISBN 978-3-7843-5612-9
rlb,Red list Bavaria (StMUGV 2005),NA,NA,NA,NA,factor,"NA = not threatened	 V = warning list	3	2	 1",StMUGV (Bayerisches Staatsministerium fuer Umwelt Gesundheit und Verbraucherschutz) (2005) Rote Liste der gefaehrdeten Tiere und Gefaeﬂpflanzen Bayerns. Kurzfassung.
neophyte,Is species a neophyte? (BfN 2021),NA,NA,NA,NA,factor,yes/no,BfN (Bundesamt fuer Naturschutz) (2021) FloraWeb. Category Floristischer Status of each species description. URL: https://www.floraweb.de
t,Ellenberg T value (Ellenberg et al. 2001),NA,NA,dimensionless,integer,numeric,NA,Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182
f,Ellenberg F value (Ellenberg et al. 2001),NA,NA,dimensionless,integer,numeric,NA,Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182
r,Ellenberg R value (Ellenberg et al. 2001),NA,NA,dimensionless,integer,numeric,NA,Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182
n,Ellenberg N value (Ellenberg et al. 2001),NA,NA,dimensionless,integer,numeric,NA,Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182
ffh6510,Species of the FFH type 6510 (LfU & LWF 2018: p90),NA,NA,NA,NA,factor,1 = yes / 0 = no,LfU (Bayersiches Landesamt fuer Umwelt) & LWF (Bayersiche Landesanstalt fuer Forstwirtschaft) (2018) Handbuch der Lebensraumtypen nach Anhang I der FFH-Richtlinie in Bayern.
ffh6210,Species of the FFH type 6210 (LfU & LWF 2018: p76),NA,NA,NA,NA,factor,1 = yes / 0 = no,LfU (Bayersiches Landesamt fuer Umwelt) & LWF (Bayersiche Landesanstalt fuer Forstwirtschaft) (2018) Handbuch der Lebensraumtypen nach Anhang I der FFH-Richtlinie in Bayern.
biotope_target,Target species (LfU 2018b: GE: p40ff / GT: p70ff / LR6510: p88f),NA,NA,NA,NA,factor,1 = yes / 0 = no,LfU (Bayersiches Landesamt fuer Umwelt) (2018b) Kartieranleitung Biotopkartierung Bayern Teil 2
table_31,LfU(2018a): Tafel 31,NA,NA,NA,NA,factor,1 = high prioriy / 2 / 3 / 4 = lower but still priority,LfU (Bayerisches Landesamt fuer Umwelt) (2018a) Bestimmungsschluessel fuer Flaechen nach paragraph 30 BNatSchG/Art. 23 BayNatSchG
table_34,LfU(2018a): Tafel 34,NA,NA,NA,NA,factor,1 = high prioriy / 2 / 3 / 4 = lower but still priority,LfU (Bayerisches Landesamt fuer Umwelt) (2018a) Bestimmungsschluessel fuer Flaechen nach paragraph 30 BNatSchG/Art. 23 BayNatSchG
table_35,LfU(2018a): Tafel 35,NA,NA,NA,NA,factor,1 = high prioriy / 2 / 3 / 4 = lower but still priority,LfU (Bayerisches Landesamt fuer Umwelt) (2018a) Bestimmungsschluessel fuer Flaechen nach paragraph 30 BNatSchG/Art. 23 BayNatSchG
table_36,LfU(2018a): Tafel 36,NA,NA,NA,NA,factor,1 = high prioriy / 2 / 3 / 4 = lower but still priority,LfU (Bayerisches Landesamt fuer Umwelt) (2018a) Bestimmungsschluessel fuer Flaechen nach paragraph 30 BNatSchG/Art. 23 BayNatSchG
mapped_2011,Mapped on dikes in the whole region along the Danube? (ArGe Danubia 2011),NA,NA,NA,NA,factor,1 = yes / 0 = no,"ArGe Danubia (2011) Kartierbericht Pflanzengesellschaften, Biotoptypen, Nutzungstypen, FFH-Lebensraumtypen, Gef‰ﬂpflanzen."
special_target,"Decided by the authors to be part of the species pool (e.g., Rhinanthus)",NA,NA,NA,NA,factor,1 = yes / 0 = no,NA
seed_availability,Species was available from the commercial seed producer for regional seeds Krimmer GbR in Freising-Pulling,NA,NA,NA,NA,factor,1 = yes / 0 = no,NA
seeded_hay_meadow,Species was part of the species pool for hay meadow seed mixtures,NA,NA,NA,NA,factor,1 = yes / 0 = no,NA
seeded_dry_grassland,Species was part of the species pool for dry grassland seed mixtures,NA,NA,NA,NA,factor,1 = yes / 0 = no,NA
target,Target species if part of ffh610 or ffh6210 or biotope_target or table_31 or table_34 or table_35 or table_36 or mapped_2011 or special_target,NA,NA,NA,NA,factor,1 = yes / 0 = no,NA
seeded,Seeded species in seeded_hay_meadow or seeded_dry_grassland,NA,NA,NA,NA,factor,1 = yes / 0 = no,
rate_2018,total_established_2018 / total_seeded_2018,NA,NA,dimensionless,real,numeric,NA,
rate_2019,total_established_2019 / total_seeded_2018,NA,NA,dimensionless,real,numeric,NA,
rate_2020,total_established_2020 / total_seeded_2018,NA,NA,dimensionless,real,numeric,NA,
rate_2021,total_established_2021 / total_seeded_2018,NA,NA,dimensionless,real,numeric,NA,
total_seeded_2018,Amount of plots in which species was seeded,NA,NA,dimensionless,integer,numeric,NA,
total_established_2018,Amount of species established from seed mixture in 2018,NA,NA,dimensionless,integer,numeric,NA,
total_established_2019,Amount of species established from seed mixture in 2019,NA,NA,dimensionless,integer,numeric,NA,
total_established_2020,Amount of species established from seed mixture in 2020,NA,NA,dimensionless,integer,numeric,NA,
total_established_2021,Amount of species established from seed mixture in 2021,NA,NA,dimensionless,integer,numeric,NA,
