attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
id,Serial number and position on the dike per year,NA,serial number and position on the dike per year,NA,NA,character,NA,NA
plot,Serial number of the plot,NA,serial number of the plot,NA,NA,character,NA,NA
latitude,Coordinates Y / Hochwert (EPSG: 4326 / WGS84),NA,NA,meter,real,numeric,NA,NA
longitude,Coordinates X / Rechtswert (EPSG: 4326 / WGS84),NA,NA,meter,real,numeric,NA,NA
survey_year,Year of the vegetation survey,YYYY,NA,NA,date,numeric,NA,NA
botanist,Person who surveyed the vegetation,NA,person who surveyed the vegetation,NA,NA,character,NA,NA
esy,EUNIS-Esy: Expert system for automatic classification of European vegetation plots to EUNIS habitats,NA,NA,NA,NA,factor,R1A / R22 / V38 / ? / R ,"Chytrý et al. (2020) EUNIS Habitat Classification: Expert system, characteristic species combinations and distribution maps of European habitats. - Applied Vegetation Science 23, 648-675. https://doi.org/10.1111/avsc.12519"
exposition,Exposition of the plots,NA,NA,NA,NA,factor,north / south,NA
orientation,Is the plot on the slope oriented to the water or to the land?,NA,NA,NA,NA,factor,water / land,NA
plot_age,Amount of years from the constructionYear to the surveyYear,NA,NA,dimensionless,integer,numeric,NA,NA
species_richness,Amount of species per plot,NA,NA,dimensionless,integer,numeric,NA,NA
eveness,Evenness index = shannon / log(species_richness),NA,NA,dimensionless,real,numeric,NA,NA
accumulated_cover,Accumulated coverage of all species abundances,NA,NA,percent,real,numeric,NA,NA
graminoid_cover,Total cover of graminoids,NA,NA,percent,real,numeric,NA,NA
ruderal_cover,Total cover of ruderal species,NA,NA,percent,real,numeric,NA,NA
rlg_richness,Amount of red-list-Germany species per plot (see data/processed/data_processed_traits_metadata.csv),NA,NA,dimensionless,integer,numeric,NA,NA
ffh,Which European habitat type according to the Bavarian guideline (LfU & LWF 2018),NA,NA,NA,NA,character,6510 / 6210 / non-FFH,LfU (Bayersiches Landesamt fuer Umwelt) & LWF (Bayersiche Landesanstalt fuer Forstwirtschaft) (2018) Handbuch der Lebensraumtypen nach Anhang I der FFH-Richtlinie in Bayern.
