ARTID;PHASE;BEGINN;ENDE;DAUER
1;0;5;6;2
2;0;8;10;3
3;0;5;6;2
4;0;4;5;2
5;0;4;4;1
6;0;3;4;2
7;0;4;5;2
8;0;5;5;1
9;0;5;6;2
10;0;7;9;3
11;0;7;9;3
12;0;6;11;6
13;0;5;10;6
14;0;7;9;3
15;0;6;10;5
16;0;6;10;5
17;0;6;8;3
18;0;5;11;7
19;0;7;9;3
20;0;5;10;6
21;0;7;9;3
22;0;5;6;2
23;0;6;9;4
24;0;7;9;3
25;0;6;9;4
26;0;6;8;3
27;0;7;9;3
28;0;7;9;3
29;0;8;10;3
30;0;8;10;3
31;0;7;9;3
32;0;6;8;3
36;0;9;10;2
37;0;6;7;2
38;0;7;9;3
39;0;5;6;2
40;0;7;9;3
41;0;7;8;2
42;0;7;8;2
43;0;5;7;3
44;0;6;9;4
45;0;5;7;3
46;0;4;5;2
47;0;3;5;3
48;0;6;7;2
49;0;5;6;2
50;0;4;6;3
51;0;6;9;4
52;0;6;9;4
53;0;6;8;3
54;0;6;7;2
55;0;7;8;2
56;0;7;9;3
57;0;6;8;3
58;0;6;7;2
59;0;6;7;2
60;0;6;7;2
61;0;7;8;2
62;0;6;7;2
63;0;7;9;3
64;0;6;7;2
65;0;6;9;4
67;0;7;7;1
68;0;6;7;2
69;0;5;8;4
70;0;5;6;2
71;0;5;9;5
72;0;4;6;3
73;0;5;8;4
74;0;5;8;4
75;0;6;10;5
76;0;6;10;5
77;0;6;10;5
78;0;6;10;5
79;0;6;10;5
81;0;6;10;5
82;0;6;10;5
83;0;5;10;6
85;0;5;10;6
86;0;6;10;5
87;0;5;10;6
88;0;6;10;5
89;0;6;10;5
90;0;5;10;6
92;0;6;10;5
93;0;6;10;5
94;0;5;10;6
95;0;5;10;6
96;0;6;10;5
98;0;6;10;5
100;0;6;10;5
101;0;6;10;5
102;0;6;10;5
105;0;6;10;5
106;0;5;10;6
107;0;6;8;3
108;0;5;10;6
110;0;6;10;5
111;0;6;8;3
112;0;6;10;5
113;0;5;10;6
114;0;5;10;6
115;0;5;10;6
116;0;6;10;5
118;0;6;10;5
119;0;6;10;5
120;0;5;10;6
121;0;5;10;6
122;0;5;10;6
123;0;5;10;6
124;0;6;10;5
126;0;6;10;5
127;0;6;10;5
128;0;6;8;3
129;0;5;10;6
130;0;7;8;2
131;0;7;8;2
132;0;6;7;2
133;0;7;8;2
134;0;4;6;3
135;0;7;8;2
136;0;6;6;1
137;0;6;7;2
138;0;6;8;3
139;0;7;8;2
140;0;6;8;3
141;0;6;8;3
142;0;6;8;3
143;0;6;8;3
144;0;5;6;2
145;0;7;8;2
146;0;4;5;2
147;0;6;8;3
148;0;6;8;3
149;0;7;8;2
150;0;6;8;3
151;0;6;7;2
152;0;7;8;2
153;0;6;7;2
154;0;7;9;3
155;0;5;6;2
156;0;7;8;2
157;0;6;8;3
158;0;3;4;2
159;0;2;4;3
160;0;4;6;3
161;0;5;10;6
162;0;5;6;2
163;0;5;7;3
164;0;5;10;6
165;0;5;10;6
166;0;5;6;2
167;0;5;6;2
168;0;7;8;2
169;0;7;9;3
170;0;4;9;6
171;0;3;5;3
172;0;5;6;2
173;0;4;5;2
174;0;7;10;4
175;0;7;9;3
176;0;6;10;5
177;0;6;10;5
178;0;7;9;3
179;0;7;9;3
180;0;7;10;4
181;0;6;10;5
182;0;7;10;4
183;0;7;9;3
184;0;7;9;3
185;0;7;10;4
186;0;7;9;3
187;0;7;9;3
188;0;7;10;4
189;0;8;10;3
190;0;8;10;3
191;0;8;10;3
192;0;4;5;2
193;0;4;5;2
194;0;4;5;2
195;0;4;5;2
196;0;6;9;4
197;0;6;7;2
198;0;6;9;4
199;0;6;7;2
200;0;6;10;5
201;0;6;9;4
202;0;7;8;2
203;0;7;9;3
204;0;6;8;3
205;0;5;9;5
206;0;5;9;5
207;0;5;8;4
208;0;5;8;4
209;0;6;7;2
210;0;4;5;2
211;0;7;8;2
212;0;5;7;3
213;0;6;7;2
214;0;4;5;2
215;0;6;7;2
216;0;4;6;3
217;0;5;7;3
218;0;3;5;3
219;0;4;5;2
220;0;4;6;3
221;0;3;5;3
222;0;7;9;3
223;0;6;8;3
224;0;7;8;2
225;0;7;9;3
226;0;6;8;3
227;0;5;6;2
228;0;5;10;6
229;0;7;9;3
230;0;6;10;5
231;0;5;8;4
232;0;6;9;4
233;0;5;6;2
234;0;6;8;3
235;0;5;7;3
236;0;5;7;3
237;0;5;6;2
238;0;5;6;2
239;0;5;8;4
240;0;6;8;3
241;0;5;8;4
242;0;5;8;4
243;0;6;9;4
244;0;6;7;2
245;0;6;7;2
246;0;5;9;5
247;0;5;9;5
248;0;7;9;3
249;0;6;7;2
250;0;7;9;3
251;0;7;9;3
252;0;6;8;3
253;0;6;7;2
254;0;6;7;2
255;0;5;7;3
256;0;5;6;2
257;0;4;5;2
258;0;3;10;8
259;0;4;5;2
260;0;6;8;3
261;0;7;8;2
262;0;3;4;2
263;0;5;7;3
264;0;5;7;3
265;0;5;7;3
266;0;5;7;3
267;0;5;7;3
268;0;5;7;3
269;0;5;7;3
270;0;5;8;4
271;0;4;6;3
272;0;7;8;2
273;0;7;9;3
274;0;8;9;2
275;0;7;9;3
276;0;3;7;5
277;0;5;6;2
278;0;5;6;2
279;0;7;9;3
280;0;7;8;2
281;0;5;9;5
282;0;5;9;5
283;0;5;6;2
284;0;3;4;2
285;0;6;7;2
286;0;5;11;7
287;0;5;7;3
288;0;6;7;2
289;0;6;9;4
290;0;5;6;2
291;2;6;10;5
292;0;7;10;4
293;0;7;9;3
294;0;8;10;3
295;0;7;9;3
296;0;7;9;3
297;0;8;10;3
298;0;8;9;2
299;0;8;10;3
300;0;9;10;2
301;0;8;10;3
302;0;9;10;2
303;0;8;10;3
304;0;8;9;2
305;0;8;9;2
306;0;7;9;3
307;0;9;11;3
308;0;7;11;5
309;0;4;6;3
310;0;6;7;2
311;0;7;9;3
312;0;3;5;3
313;0;8;10;3
314;0;5;7;3
315;0;5;8;4
316;0;5;6;2
317;0;6;9;4
318;0;6;9;4
319;0;6;8;3
320;0;7;8;2
321;0;7;8;2
322;0;4;7;4
323;0;7;8;2
324;0;7;9;3
325;0;7;9;3
326;0;6;9;4
327;0;7;9;3
328;0;7;8;2
329;0;7;8;2
330;0;7;8;2
331;0;7;8;2
332;0;7;9;3
334;0;6;8;3
335;0;7;9;3
336;0;4;9;6
337;0;9;10;2
338;0;8;10;3
339;0;8;9;2
341;0;9;11;3
342;0;9;10;2
343;0;8;10;3
344;0;7;9;3
345;0;8;10;3
346;0;9;10;2
347;0;6;8;3
348;0;6;7;2
349;0;5;6;2
350;0;6;8;3
351;0;5;6;2
352;0;5;5;1
353;0;7;8;2
354;0;6;7;2
355;0;6;7;2
356;0;7;8;2
357;0;6;8;3
358;0;6;8;3
359;0;5;8;4
360;0;7;8;2
361;0;7;8;2
363;0;6;9;4
364;0;6;9;4
365;0;7;9;3
366;0;7;9;3
367;0;7;9;3
368;0;5;6;2
369;0;7;9;3
370;0;7;9;3
371;0;7;10;4
372;0;7;9;3
373;0;7;9;3
374;0;7;9;3
375;0;7;9;3
377;0;6;8;3
378;0;6;8;3
379;0;6;8;3
380;0;6;8;3
381;0;6;8;3
382;0;6;8;3
383;0;5;6;2
384;0;5;6;2
385;0;7;8;2
386;0;8;10;3
387;0;8;10;3
388;0;4;5;2
389;0;5;6;2
390;0;7;10;4
391;0;6;9;4
392;0;4;5;2
393;0;4;6;3
394;0;4;6;3
395;0;5;7;3
396;0;6;8;3
397;0;8;9;2
398;0;6;9;4
399;2;1;11;11
400;0;4;6;3
401;0;6;10;5
402;0;7;9;3
403;0;7;9;3
404;0;6;9;4
405;0;7;8;2
406;0;4;5;2
407;0;4;6;3
408;0;4;5;2
409;0;4;5;2
411;0;8;10;3
412;0;8;10;3
413;0;8;9;2
414;0;8;10;3
415;0;7;10;4
416;0;5;8;4
417;0;5;7;3
418;0;8;10;3
419;0;6;8;3
420;0;7;9;3
421;0;6;7;2
422;0;5;7;3
423;0;6;8;3
425;0;7;10;4
426;0;6;7;2
427;0;7;9;3
428;0;5;8;4
429;0;6;7;2
430;0;7;9;3
431;0;5;6;2
432;0;6;9;4
433;0;6;7;2
434;0;6;7;2
435;0;7;8;2
436;0;6;9;4
437;0;6;9;4
438;0;4;9;6
439;0;6;9;4
440;0;5;9;5
441;0;4;9;6
442;0;5;6;2
443;0;5;7;3
444;0;6;7;2
