ARTID;NR_NAME;Species
1;1;Abies alba
2;2;Abutilon theophrasti
3;6;Acer campestre
4;7;Acer monspessulanum
5;8;Acer negundo
6;13;Acer opalus
7;14;Acer platanoides
8;15;Acer pseudoplatanus
9;17;Aceras anthropophorum
10;19;Achillea atrata
11;21;Achillea clavennae
12;29;Achillea collina
13;22;Achillea crithmifolia
14;26;Achillea macrophylla
15;31;Achillea millefolium
16;39;Achillea nobilis
17;34;Achillea pannonica
18;26686;Achillea pratensis
19;44;Achillea ptarmica
20;35;Achillea roseoalba
21;27369;Achillea salicifolia
22;36;Achillea setacea
23;47;Achnatherum calamagrostis
24;48;Acinos alpinus
25;49;Acinos arvensis
26;52;Aconitum napellus
27;14231;Aconitum degenii
28;14270;Aconitum pilipes
29;14276;Aconitum plicatum
30;20116;Aconitum tauricum
31;61;Aconitum variegatum
32;14242;Aconitum lycoctonum
33;14226;Aconitum x austriacum
34;14241;Aconitum x hebegynum
35;14274;Aconitum x pilosiusculum
36;20124;Aconogonon polystachyum
37;69;Acorus calamus
38;6540;Acroptilon repens
39;70;Actaea spicata
40;71;Adenophora liliifolia
41;72;Adenostyles alliariae
42;73;Adenostyles glabra
43;76;Adonis aestivalis
44;77;Adonis annua
45;78;Adonis flammea
46;80;Adonis vernalis
47;81;Adoxa moschatellina
48;87;Aegopodium podagraria
49;89;Aesculus hippocastanum
50;92;Aethionema saxatile
51;94;Aethusa cynapium
52;99;Agrimonia eupatoria
53;102;Agrimonia procera
54;116;Agrostemma githago
55;20168;Agrostis agrostiflora
56;118;Agrostis alpina
57;121;Agrostis canina
58;20178;Agrostis capillaris
59;123;Agrostis castellana
60;128;Agrostis gigantea
61;124;Agrostis rupestris
62;125;Agrostis scabra
63;119;Agrostis schleicheri
64;129;Agrostis stolonifera
65;20684;Agrostis vinealis
66;13337;Agrostis x murbeckii
67;131;Ailanthus altissima
68;133;Aira caryophyllea
69;20225;Aira elegantissima
70;136;Aira praecox
71;137;Ajuga chamaepitys
72;138;Ajuga genevensis
73;140;Ajuga pyramidalis
74;141;Ajuga reptans
75;143;Alcea rosea
76;20239;Alchemilla alpigena
