Species	TapRootPersist	ReproMulti	StorageOrganPresence	AgeFirstFlowering	GenetLifeSpan	BudBank_no_>10cm	BudBank_no_>0_to_10cm	BudBank_no_0cm	BudBank_no_0_to_-10cm	BudBank_no_<-10cm	BudBank_season_>10cm	BudBank_season_0_to_10cm	BudBank_season_0cm	BudBank_season_0_to_-10cm	BudBank_season_<-10cm	CGO_Type_1	CGO_Type_2	CGO_Type_3	CGO_Type_4	CGO_Role_1	CGO_Role_2	CGO_Role_3	CGO_Role_4	ShootCycl_1	ShootCycl_2	ShootCycl_3	ShootCycl_4	ConnectionPersist_1	ConnectionPersist_2	ConnectionPersist_3	ConnectionPersist_4	OffspringPerParent_1	OffspringPerParent_2	OffspringPerParent_3	OffspringPerParent_4	LateralSpread_1	LateralSpread_2	LateralSpread_3	LateralSpread_4	BranchingType_1	BranchingType_2	BranchingType_3	BranchingType_4	TilleringType_1	TilleringType_2	TilleringType_3	TilleringType_4	RootsPos_1	RootsPos_2	RootsPos_3	RootsPos_4	LeafDistr_1	LeafDistr_2	LeafDistr_3	LeafDistr_4	OffspringSize_1	OffspringSize_2	OffspringSize_3	OffspringSize_4	ClonalVsRepr_1	ClonalVsRepr_2	ClonalVsRepr_3	ClonalVsRepr_4	GenerationOverlap_1	GenerationOverlap_2	GenerationOverlap_3	GenerationOverlap_4	DataType	Geography	Habitat	Date	Det	Herb	Photos	Drawings	Ndeg	Nmin	Edeg	Emin	Ref
Achillea millefolium L.	no	vegetative & generative	no			1-10	1-10	1-10	>10	0	seasonal	seasonal	perennial	perennial		9	10			necessary	additive							>2	>2			1	2-10			<0.01	0.01-0.25			sympodial	sympodial							on shoot base	along horiz. stem			semi-rosette	semi-rosette			about the same	about the same			reproductive	reproductive			yes	yes			field observation	Austria											Kutschera L. 1960. Wurzelatlas mitteleuropäischer Ackerkräuter und Kulturpflanzen.  DLG - Verlags gmbh, Frankfurt am Main,: pp. 574	
Achillea millefolium L.	no	vegetative & generative	no			1-10	1-10	1-10	>10	0	seasonal	seasonal	perennial	perennial		10				necessary				2				>2				2-10				0.01-0.25				sympodial								on shoot base				semi-rosette				about the same				reproductive				yes				field observation	Poland	botanical garden										Lukasiewicz A. 1962. Morphologic development types of perennials [in polish] The Poznan Society of Frends of Science, Department of Mathemathical and Natural Sciences, Publication of the Section of Biology, 27: 1-398	
Achillea millefolium L.		vegetative & generative														10																				0.01-0.25																																second-hand information												Grime, J.P., Hodgson, J.G. & Hunt, R. 1988. Comparative plant ecology - a functional approach to common British species.:	
Achillea millefolium L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	seasonal	perennial		10				necessary								>2				2-10				0.01-0.25				sympodial								along horiz. stem				no rosette				about the same												second-hand information												Warwick, S.I. & Black, L. 1982. The biology of Canadian weeds. 52. Achillea millefolium L. s.l.. Canadian Journal of Plant Science 62: 163-182	
Achillea millefolium L.									>10	>10				perennial	perennial	10	10			regenerative	additive								>2				1																																			second-hand information												Bourdot, G.W., Field, R.J. & White, J.G. 1985. Growth analysis of Achillea millefolium L. (Yarrow) in the presence and absence of a competitor-Hordeum vulgare L. (Barley). New Phytologist 101: 507-519	
Achillea millefolium L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	perennial	perennial		10	10			necessary	regenerative							>2				2-10				>0.25	dispersable			sympodial								along horiz. stem				semi-rosette				about the same	much smaller											field observation	New Zealand	arable										Bourdot, G.W. & Butler, J.H.B. 1985. Control of Achillea millefolium L. (yarrow) by rotary cultivation and glyphosate. Weed Research 25: 251-258	
Achillea millefolium L.	no		no						>10	0				perennial		10	10			necessary	regenerative							>2				2-10				>0.25				sympodial																about the same	much smaller											field observation	New Zealand	arable										Bourdot, G.W. 1984. Regeneration of yarrow (Achillea millefolium L.) rhizome fragments of different length from various depth in the soil. Weed Research 24: 421-429	
Achillea millefolium L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	perennial	perennial		10				necessary				2				>2				2-10				0.01-0.25				sympodial								along horiz. stem				semi-rosette				about the same								yes				picture interpretation	Germany											Schubert, R., Jäger, E. & Werner, K. 1987. Exkursionflora für die Gebiete der DDR und der BRD. Atlas der Gefässpflanzen. Band, 6. 3.:	
Acinos arvensis (LAM.)DANDY	yes		no	1	1	1-10	1-10	1-10	0	0	seasonal	seasonal	seasonal											1																												no rosette																picture interpretation	Germany											Schubert R., Jäger E. et Werner K. 1987. Exkursionflora für die Gebiete der DDR und der BRD. Atlas der Gefässpflanzen. Volk und Wissen Volkseigener Verlag Berlin Band, 6. 3: pp.752	
Acinos arvensis (LAM.)DANDY	yes		no	1	1	0	1-10	1-10	0	0		seasonal	seasonal											1																												no rosette																field observation	Austria											Kutschera, L. & Lichtenegger, E. 1992. Wurzelatlas mitteleuropäischer Grünlandpflanzen. Band 2 Dicotyledoneae, Teil 1.:	
