name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,l,t,k,f,fchange,r,n,biotopeTarget,ffh6510,ffh6210,specialTarget,seedAvailability,seeded
Acer_campestre,http://www.worldfloraonline.org/taxon/wfo-0000514040,NA,Sapindaceae,tree,no,no,no,no,5,6,4,5,no,7,6,no,no,no,NA,NA,no
Acer_platanoides,http://www.worldfloraonline.org/taxon/wfo-0000514884,NA,Sapindaceae,tree,no,no,no,no,4,6,4,NA,NA,NA,NA,no,no,no,NA,NA,no
Acer_pseudoplatanus,http://www.worldfloraonline.org/taxon/wfo-0000514908,NA,Sapindaceae,tree,no,no,no,no,4,NA,4,6,no,NA,7,no,no,no,NA,NA,no
Achillea_millefolium,http://www.worldfloraonline.org/taxon/wfo-0000042097,NA,Asteraceae,herb,no,no,no,no,8,NA,NA,4,no,NA,5,yes,yes,no,NA,yes,yes
Acinos_arvensis,http://www.worldfloraonline.org/taxon/wfo-0000320080,NA,Lamiaceae,herb,no,V,no,no,9,6,3,2,no,5,1,yes,no,no,NA,NA,no
Aegopodium_podagraria,http://www.worldfloraonline.org/taxon/wfo-0000521573,NA,Apiaceae,herb,no,no,no,no,5,5,3,6,no,7,8,no,no,no,NA,NA,no
Agrimonia_eupatoria,http://www.worldfloraonline.org/taxon/wfo-0001006654,NA,Rosaceae,herb,no,no,no,no,7,6,4,4,no,8,4,yes,no,no,NA,yes,yes
Agrostis_capillaris,http://www.worldfloraonline.org/taxon/wfo-0000841743,NA,Poaceae,sub-grass,no,no,no,no,7,NA,3,NA,no,4,4,yes,no,no,NA,yes,yes
Agrostis_gigantea,http://www.worldfloraonline.org/taxon/wfo-0000843693,NA,Poaceae,top-grass,no,no,no,no,7,5,3,8,no,7,6,yes,no,no,NA,NA,no
Agrostis_stolonifera,http://www.worldfloraonline.org/taxon/wfo-0000844489,NA,Poaceae,sub-grass,no,no,no,no,8,NA,5,NA,flood,NA,5,no,no,no,NA,NA,no
Ajuga_reptans,http://www.worldfloraonline.org/taxon/wfo-0000935107,NA,Lamiaceae,herb,no,no,no,no,6,NA,2,6,no,6,6,yes,yes,no,NA,yes,yes
Alchemilla_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0001007689#synonyms,NA,Rosaceae,herb,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,NA,no
Allium_oleraceum,http://www.worldfloraonline.org/taxon/wfo-0000756866,NA,Amaryllidaceae,herb,no,no,no,no,7,6,4,3,no,7,4,yes,no,no,NA,NA,no
Allium_sativum,http://www.worldfloraonline.org/taxon/wfo-0000757248,NA,Amaryllidaceae,herb,no,no,no,yes,NA,NA,NA,NA,no,NA,NA,no,no,no,NA,NA,no
Allium_scorodoprasum,http://www.worldfloraonline.org/taxon/wfo-0000757306,NA,Amaryllidaceae,herb,no,no,3,no,6,6,5,7,no,7,7,no,no,no,NA,NA,no
Allium_vineale,http://www.worldfloraonline.org/taxon/wfo-0000757711,NA,Amaryllidaceae,herb,no,no,no,no,5,7,3,4,no,NA,7,yes,no,no,NA,NA,no
Alopecurus_myosuroides,http://www.worldfloraonline.org/taxon/wfo-0000845620,NA,Poaceae,grass,no,no,no,no,6,6,3,5,no,7,6,no,no,no,NA,NA,no
Alopecurus_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000845656,NA,Poaceae,top-grass,no,no,no,no,6,NA,5,6,no,6,7,yes,yes,no,NA,yes,yes
Amaranthus_retroflexus,http://www.worldfloraonline.org/taxon/wfo-0000530447,NA,Amaranthaceae,herb,no,no,no,no,8,7,6,5,no,7,7,no,no,no,NA,NA,no
Anagallis_arvensis,http://www.worldfloraonline.org/taxon/wfo-0000533162,NA,Primulaceae,herb,no,no,no,no,6,6,3,5,no,NA,6,no,no,no,NA,NA,no
Angelica_sylvestris,http://www.worldfloraonline.org/taxon/wfo-0000536413,NA,Apiaceae,herb,no,no,no,no,7,NA,4,8,no,NA,NA,no,no,no,NA,NA,no
Anthericum_ramosum,http://www.worldfloraonline.org/taxon/wfo-0000760635,NA,Asparagaceae,herb,BG,V,no,no,7,5,4,3,no,7,3,yes,no,no,NA,yes,yes
Anthoxanthum_odoratum,http://www.worldfloraonline.org/taxon/wfo-0000848178,NA,Poaceae,sub-grass,no,no,no,no,NA,NA,NA,NA,no,5,NA,yes,yes,no,NA,yes,yes
Anthriscus_sylvestris,http://www.worldfloraonline.org/taxon/wfo-0000538692,NA,Apiaceae,herb,no,no,no,no,7,NA,5,5,no,NA,8,no,no,no,NA,NA,no
Anthyllis_vulneraria,http://www.worldfloraonline.org/taxon/wfo-0000212115,NA,Fabaceae,legume,no,no,no,no,8,6,3,3,no,7,2,yes,no,yes,NA,yes,yes
Apera_spica-venti,http://www.worldfloraonline.org/taxon/wfo-0000848273,NA,Poaceae,grass,no,no,no,no,6,6,4,6,no,5,NA,no,no,no,NA,NA,no
Arabis_hirsuta,http://www.worldfloraonline.org/taxon/wfo-0000542279,NA,Brassicaceae,herb,no,V,no,no,7,5,3,4,chwet,8,NA,yes,no,yes,NA,yes,yes
Arenaria_serpyllifolia,http://www.worldfloraonline.org/taxon/wfo-0000546651,NA,Caryophyllaceae,herb,no,no,no,no,8,NA,NA,4,no,7,NA,no,no,no,NA,NA,no
Arrhenatherum_elatius,http://www.worldfloraonline.org/taxon/wfo-0000849608,NA,Poaceae,top-grass,no,no,no,no,8,5,3,5,no,7,7,yes,yes,no,NA,yes,yes
Artemisia_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000115588,NA,Asteraceae,herb,no,no,no,no,7,6,NA,6,no,NA,8,no,no,no,NA,NA,no
Asperula_cynanchica,http://www.worldfloraonline.org/taxon/wfo-0000285663,NA,Rubiaceae,herb,no,V,no,no,7,NA,5,3,no,8,3,yes,no,no,NA,yes,yes
Astragalus_glycyphyllos,http://www.worldfloraonline.org/taxon/wfo-0000213564,NA,Fabaceae,legume,no,no,no,no,6,6,4,4,no,7,3,yes,no,no,NA,NA,no
Avena_fatua,http://www.worldfloraonline.org/taxon/wfo-0000851838,NA,Poaceae,grass,no,no,no,no,6,6,6,5,no,7,NA,no,no,no,NA,NA,no
Barbarea_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000560064,NA,Brassicaceae,herb,no,no,no,no,8,6,3,6,no,NA,6,no,no,no,NA,NA,no
Bellis_perennis,http://www.worldfloraonline.org/taxon/wfo-0000072578,NA,Asteraceae,herb,no,no,no,no,8,NA,2,5,no,NA,6,no,no,no,NA,NA,no
Brachypodium_pinnatum,http://www.worldfloraonline.org/taxon/wfo-0000854513,NA,Poaceae,top-grass,no,no,no,no,6,6,5,4,no,7,4,yes,no,yes,NA,yes,yes
Brassica_napus,http://www.worldfloraonline.org/taxon/wfo-0000571271,NA,Brassicaceae,herb,no,no,no,yes,NA,NA,NA,NA,no,NA,NA,no,no,no,NA,NA,no
Brassica_rapa,http://www.worldfloraonline.org/taxon/wfo-0000571544,NA,Brassicaceae,herb,no,no,no,no,NA,NA,NA,NA,no,NA,NA,no,no,no,NA,NA,no
Brassicaceae,http://www.worldfloraonline.org/taxon/wfo-7000000082,NA,Brassicaceae,herb,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,no
Briza_media,http://www.worldfloraonline.org/taxon/wfo-0000854755,NA,Poaceae,sub-grass,no,no,no,no,8,NA,3,NA,no,NA,2,yes,yes,yes,NA,yes,yes
Bromus_erectus,http://www.worldfloraonline.org/taxon/wfo-0000855493,NA,Poaceae,top-grass,no,no,no,no,8,5,2,3,no,8,3,yes,no,yes,NA,yes,yes
Bromus_hordeaceus,http://www.worldfloraonline.org/taxon/wfo-0000855692,NA,Poaceae,top-grass,no,no,no,no,7,6,4,NA,chwet,NA,3,yes,yes,no,no,NA,no
Bromus_inermis,http://www.worldfloraonline.org/taxon/wfo-0000855743,NA,Poaceae,top-grass,no,no,no,no,8,NA,7,4,chwet,8,5,no,no,no,NA,NA,no
Bromus_secalinus,http://www.worldfloraonline.org/taxon/wfo-0000856443,NA,Poaceae,grass,no,no,2,no,6,6,3,NA,no,5,NA,no,no,no,NA,NA,no
Bromus_sterilis,http://www.worldfloraonline.org/taxon/wfo-0000856589,NA,Poaceae,sub-grass,no,no,no,no,7,6,4,4,no,NA,5,no,no,no,NA,NA,no
Bunias_orientalis,http://www.worldfloraonline.org/taxon/wfo-0000574739,NA,Brassicaceae,herb,no,no,no,yes,7,6,5,5,no,8,5,no,no,no,NA,NA,no
Buphthalmum_salicifolium,http://www.worldfloraonline.org/taxon/wfo-0000082220,NA,Asteraceae,herb,no,no,no,no,8,NA,4,4,no,8,3,yes,no,no,NA,yes,yes
Calamagrostis_epigejos,http://www.worldfloraonline.org/taxon/wfo-0000857259,NA,Poaceae,top-grass,no,no,no,no,7,5,7,NA,chwet,NA,6,no,no,no,NA,NA,no
Calystegia_sepium,http://www.worldfloraonline.org/taxon/wfo-0001296723,NA,Convolvulaceae,herb,no,no,no,no,8,6,5,6,no,7,9,no,no,no,NA,NA,no
Campanula_glomerata,http://www.worldfloraonline.org/taxon/wfo-0000827269,NA,Campanulaceae,herb,no,3,no,no,7,NA,7,4,no,7,NA,yes,no,yes,NA,yes,yes
Campanula_patula,http://www.worldfloraonline.org/taxon/wfo-0000828061,NA,Campanulaceae,herb,no,V,no,no,8,6,4,5,no,7,5,yes,yes,no,NA,yes,yes
Campanula_rapunculoides,http://www.worldfloraonline.org/taxon/wfo-0000828416,NA,Campanulaceae,herb,no,no,no,no,6,6,4,4,no,7,4,yes,no,no,NA,yes,yes
Campanula_rotundifolia,http://www.worldfloraonline.org/taxon/wfo-0000828550,NA,Campanulaceae,herb,no,no,no,no,7,5,NA,NA,no,NA,2,yes,no,no,NA,yes,yes
Campanula_trachelium,http://www.worldfloraonline.org/taxon/wfo-0000829176,NA,Campanulaceae,herb,no,no,no,no,4,NA,3,6,no,8,8,no,no,no,NA,NA,no
Capsella_bursa-pastoris,http://www.worldfloraonline.org/taxon/wfo-0000585589,NA,Brassicaceae,herb,no,no,no,no,7,NA,NA,5,no,NA,6,no,no,no,NA,NA,no
Cardamine_hirsuta,http://www.worldfloraonline.org/taxon/wfo-0000586924,NA,Brassicaceae,herb,no,no,no,no,6,6,3,5,no,5,7,no,no,no,NA,NA,no
Carduus_acanthoides,http://www.worldfloraonline.org/taxon/wfo-0000114356,NA,Asteraceae,herb,no,no,no,no,9,5,6,4,no,8,7,no,no,no,NA,NA,no
Carex_acutiformis,http://www.worldfloraonline.org/taxon/wfo-0000344201,NA,Cyperaceae,sedge,no,no,no,no,7,NA,3,9,chwet,7,5,yes,no,no,NA,NA,no
Carex_caryophyllea,http://www.worldfloraonline.org/taxon/wfo-0000345352,NA,Cyperaceae,sedge,no,V,no,no,8,NA,3,4,no,NA,2,yes,no,yes,NA,NA,no
Carex_digitata,http://www.worldfloraonline.org/taxon/wfo-0000346034,NA,Cyperaceae,sedge,no,no,no,no,3,NA,4,5,no,NA,4,yes,no,no,NA,NA,no
Carex_filiformis,http://www.worldfloraonline.org/taxon/wfo-0000346605,Carex_tomentosa,Cyperaceae,sedge,no,3,3,no,7,6,5,7,chwet,9,NA,no,no,no,NA,NA,no
Carex_flacca,http://www.worldfloraonline.org/taxon/wfo-0000346645,NA,Cyperaceae,sedge,no,no,no,no,7,NA,3,6,chwet,8,NA,no,no,no,yes,yes,yes
Carex_hirta,http://www.worldfloraonline.org/taxon/wfo-0000347452,NA,Cyperaceae,sedge,no,no,no,no,7,6,3,6,chwet,NA,5,yes,no,no,NA,NA,no
Carex_leporina,http://www.worldfloraonline.org/taxon/wfo-0000348260,NA,Cyperaceae,sedge,no,no,no,no,7,na,3,7,chwet,3,3,no,no,no,NA,NA,no
Carex_montana,http://www.worldfloraonline.org/taxon/wfo-0000348977,NA,Cyperaceae,sedge,no,no,no,no,5,NA,4,4,no,6,3,yes,no,yes,NA,NA,no
Carex_muricata,http://www.worldfloraonline.org/taxon/wfo-0000349075,NA,Cyperaceae,sedge,no,no,no,no,7,6,3,4,no,NA,6,yes,no,no,NA,NA,no
Carex_panicea,http://www.worldfloraonline.org/taxon/wfo-0000349728,NA,Cyperaceae,sedge,no,V,no,no,8,NA,3,8,chwet,NA,4,yes,no,no,NA,NA,no
Carex_praecox_ssp_curvata,http://www.worldfloraonline.org/taxon/wfo-0000350214,Carex_curvata,Cyperaceae,sedge,no,D,3,no,9,6,6,3,chwet,NA,4,yes,no,no,NA,NA,no
Carex_praecox_ssp_praecox,http://www.worldfloraonline.org/taxon/wfo-0000350207,NA,Cyperaceae,sedge,no,V,3,no,9,6,6,3,chwet,NA,4,yes,no,no,NA,NA,no
Carex_spec,http://www.worldfloraonline.org/taxon/wfo-0000588460,NA,Cyperaceae,sedge,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,no
Carex_sylvatica,http://www.worldfloraonline.org/taxon/wfo-0000351795,NA,Cyperaceae,sedge,no,no,no,no,2,5,3,5,no,6,5,no,no,no,NA,NA,no
Carlina_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000130786,NA,Asteraceae,herb,no,no,no,no,7,5,3,4,no,7,3,yes,no,no,NA,yes,yes
Carum_carvi,http://www.worldfloraonline.org/taxon/wfo-0000588460,NA,Apiaceae,herb,no,no,no,no,8,4,5,5,no,NA,6,yes,yes,no,NA,NA,no
Centaurea_jacea,http://www.worldfloraonline.org/taxon/wfo-0000095537,NA,Asteraceae,herb,no,no,no,no,7,NA,5,NA,no,NA,NA,yes,yes,no,NA,yes,yes
