name,sum
Acer_campestre,4
Acer_platanoides,3
Acer_pseudoplatanus,112
Achillea_millefolium,417
Aegopodium_podagraria,28
Agrimonia_eupatoria,101
Agrostis_capillaris,218
Agrostis_stolonifera,50
Ajuga_reptans,120
Alchemilla_vulgaris,1
Allium_scorodoprasum,11
Alopecurus_myosuroides,13
Alopecurus_pratensis,61
Amaranthus_retroflexus,121
Anagallis_arvensis,4
Angelica_sylvestris,1
Anthericum_ramosum,38
Anthoxanthum_odoratum,356
Anthyllis_vulneraria,191
Apera_spica-venti,1
Arabis_hirsuta,49
Arenaria_serpyllifolia,332
Arrhenatherum_elatius,459
Artemisia_vulgaris,18
Asperula_cynanchica,56
Avena_fatua,2
Barbarea_vulgaris,21
Bellis_perennis,1
Brachypodium_pinnatum,148
Brassica_napus,1
Brassicaceae,5
Briza_media,289
Bromus_erectus,383
Bromus_hordeaceus,696
Bromus_inermis,589
Bromus_secalinus,115
Bromus_sterilis,7
Bunias_orientalis,205
Buphthalmum_salicifolium,78
Calystegia_sepium,498
Campanula_glomerata,72
Campanula_patula,61
Campanula_rapunculoides,45
Campanula_rotundifolia,47
Campanula_trachelium,1
Capsella_bursa-pastoris,284
Cardamine_hirsuta,1
Carex_acutiformis,2
Carex_caryophyllea,15
Carex_filiformis,7
Carex_flacca,76
Carex_hirta,132
Carex_leporina,2
Carex_muricata,12
Carex_praecox_ssp_praecox,7
Carex_spec,11
Carlina_vulgaris,46
Centaurea_jacea,152
Centaurea_scabiosa,225
Centaurea_spec,1
Centaurea_stoebe,194
Cerastium_arvense,100
Cerastium_fontanum_ssp_vulgare,350
Cerastium_glomeratum,40
Chaerophyllum_bulbosum,3
Chenopodium_album,407
Chenopodium_polyspermum,142
Cichorium_intybus,274
Cirsium_arvense,37
Cirsium_oleraceum,41
Cirsium_vulgare,4
Clinopodium_vulgare,107
Consolida_regalis,5
Convolvulus_arvensis,932
Cornus_controversa,6
Cota_tinctoria,3
Crataegus_monogyna,1
Crepis_biennis,243
Crepis_capillaris,2
Cynosurus_cristatus,77
Dactylis_glomerata,333
Daucus_carota,209
Dianthus_carthusianorum,205
Dipsacus_fullonum,1
Echinochloa_crus-galli,167
Echium_vulgare,410
Elymus_repens,611
Epilobium_obscurum,1
Epilobium_parviflorum,8
Epilobium_spec,1
Equisetum_arvense,107
Eragrostis_minor,1
Erigeron_annuus,218
Erigeron_canadensis,52
Erysimum_cheiranthoides,11
Euonymus_europaeus,2
Euphorbia_amygdaloides,1
Euphorbia_cyparissias,1
Euphorbia_esula,81
Euphorbia_helioscopia,104
Euphorbia_verrucosa,15
Fallopia_convolvulus,132
Festuca_arundinacea,18
Festuca_ovina,187
Festuca_pratensis,416
Festuca_rubra,401
Festuca_spec,1
Filipendula_ulmaria,18
Filipendula_vulgaris,73
Fragaria_vesca,8
Fragaria_viridis,21
Fumaria_officinalis,15
Galeopsis_tetrahit,24
Galium_aparine,4
Galium_mollugo,363
Galium_palustre,1
Galium_verum,184
Geranium_dissectum,32
Geranium_molle,1
Geranium_pratense,73
Geranium_pusillum,1
Geranium_pyrenaicum,80
Geum_urbanum,6
Glechoma_hederacea,101
Helianthemum_nummularium,34
Helianthus_annuus,11
Helianthus_tuberosus,1
Helictotrichon_pubescens,138
Hippocrepis_comosa,72
Holcus_lanatus,206
Hordeum_vulgare,10
Hypericum_perforatum,52
Hypochaeris_radicata,228
Inula_salicina,37
Iris_pseudacorus,1
Iris_spec,6
Jacobaea_vulgaris,8
Knautia_arvensis,346
Koeleria_pyramidata,121
Lactuca_serriola,32
Lamium_maculatum,3
Lamium_purpureum,5
Lapsana_communis,4
Lathyrus_pratensis,244
Lathyrus_sylvestris,1
Lathyrus_tuberosus,7
Leontodon_hispidus,94
Lepidium_campestre,10
Lepidium_ruderale,5
Leucanthemum_vulgare,343
Linum_spec,1
Lolium_perenne,56
Lotus_corniculatus,431
Lysimachia_nummularia,89
Lysimachia_vulgaris,27
Lythrum_salicaria,1
Malva_spec,1
Medicago_falcata,333
Medicago_lupulina,429
Medicago_minima,14
Medicago_sativa,216
Melilotus_albus,1
Myosotis_arvensis,63
Nardus_stricta,5
Oenothera_biennis,19
Onobrychis_viciifolia,194
Ononis_spinosa,3
Origanum_vulgare,200
Papaver_dubium,2
Papaver_rhoeas,225
Pastinaca_sativa,119
Persicaria_amphibia,125
Persicaria_bistorta,3
Persicaria_lapathifolia,1
Persicaria_minor,1
Persicaria_mitis,1
Peucedanum_cervaria,1
Peucedanum_oreoselinum,34
Phleum_phleoides,62
Phleum_pratense,210
Pimpinella_major,47
Pimpinella_saxifraga,52
Plantago_lanceolata,415
Plantago_major,1
Plantago_major_ssp_intermedia,7
Plantago_major_ssp_major,5
Plantago_media,85
Poa_angustifolia,173
Poa_annua,1
Poa_compressa,86
Poa_pratensis,206
Poa_trivialis,71
Poaceae,5
Polygonum_aviculare,123
Populus_alba,3
Potentilla_anserina,391
Potentilla_argentea,5
Potentilla_erecta,6
Potentilla_recta,79
Potentilla_reptans,235
Prunella_grandiflora,43
Prunella_vulgaris,256
Prunus_avium,13
Prunus_padus,2
Quercus_robur,2
Ranunculus_acris,99
Ranunculus_bulbosus,132
Ranunculus_polyanthemos,3
Ranunculus_repens,180
Reseda_lutea,130
Rhinanthus_alectorolophus,534
Rhinanthus_glacialis,64
Rhinanthus_minor,175
Rorippa_sylvestris,389
Rubus_caesius,359
Rumex_acetosa,272
Rumex_obtusifolius,83
Salix_purpurea,7
Salix_spec,2
Salvia_nemorosa,2
Salvia_pratensis,349
Sanguisorba_minor,721
Sanguisorba_officinalis,158
Saxifraga_granulata,1
Scabiosa_columbaria,57
Securigera_varia,516
Sedum_acre,63
Sedum_maximum,1
Sedum_sexangulare,24
Setaria_pumila,82
Setaria_spec,16
Setaria_verticillata,1
Setaria_viridis,8
Silaum_silaus,41
Silene_dioica,2
Silene_flos-cuculi,39
Silene_latifolia_ssp_alba,144
Silene_vulgaris,815
Sisymbrium_officinale,1
Solidago_gigantea,5
Sonchus_arvensis,16
Sonchus_asper,132
Sonchus_oleraceus,9
Stachys_palustris,13
Stachys_sylvatica,4
Stellaria_graminea,99
Stellaria_media,21
Symphytum_officinale,140
Tanacetum_vulgare,1
Taraxacum_campylodes,194
Thalictrum_minus,1
Thlaspi_arvense,67
Thymus_praecox,102
Thymus_pulegioides,2
Tragopogon_pratensis,111
Trifolium_arvense,2
Trifolium_campestre,20
Trifolium_dubium,19
Trifolium_hybridum,6
Trifolium_medium,2
Trifolium_montanum,64
Trifolium_pratense,317
Trifolium_repens,19
Tripleurospermum_maritimum,1
Trisetum_flavescens,310
Triticum_spec,5
Ulmus_laevis,2
Urtica_dioica,7
Valeriana_officinalis,5
Valerianella_spec,18
Verbascum_densiflorum,24
Verbascum_lychnitis,270
Verbascum_spec,3
Verbascum_thapsus,14
Verbena_officinalis,1
Veronica_arvensis,37
Veronica_chamaedrys,109
Veronica_persica,2
Veronica_serpyllifolia,2
Veronica_spec,2
Vicia_cracca,216
Vicia_hirsuta,2
Vicia_onobrychioides,1
Vicia_sativa_ssp_nigra,23
Vicia_sepium,32
Vicia_tetrasperma,1
Viola_arvensis,6
Vulpia_myuros,14
