variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_Intercept,0.49488894734499994,0.4947215425280102,0.019814200533719375,0.019473561970453784,0.46311887504193977,0.527257297225764,1.0005724067439279,6518.055136631383,7950.201935378704
b_sand_ratio25,0.16291383648145305,0.16278340902279775,0.019866257148549598,0.02017588698091714,0.13045507190376932,0.19516466483379588,1.0003439855164418,5611.359506740964,7468.423217176182
b_sand_ratio50,0.12396405717183977,0.12410380259186293,0.019815281144061375,0.019874358439767762,0.09137158525376018,0.155951115387442,0.999882310985093,6289.196287173795,7983.976358838978
b_target_typedry_grassland,0.00698161210970361,0.006951896222841092,0.01992247708635861,0.019493050890398794,-0.026107146707470445,0.03978838703066184,1.0001588275053948,4858.414110008094,7268.456690497173
b_expositionsouth,-0.1623367996286748,-0.1631067912157676,0.16681149012702776,0.16774771312083658,-0.4345317996917805,0.11388251525263077,0.9998915764779481,9151.53014493622,8691.794244999288
b_survey_year_fct2019,0.14772875489779286,0.14722721508662107,0.22030429682673336,0.21985978313139878,-0.21766022979100327,0.5085811656438652,1.000185704493723,9614.604773616597,8491.398819666896
b_survey_year_fct2020,0.2261840391632475,0.22621323401003812,0.18363483243207648,0.18290717353178548,-0.07521116406079109,0.5230530848007138,0.9999416666775428,8938.285262296462,8311.033331764855
b_survey_year_fct2021,0.17966363278073064,0.18006362446602464,0.22455232767255717,0.22141831129333628,-0.19879459599839658,0.5498592920977077,1.0002731571530217,9085.57502701227,7946.737021776926
b_substrate_depth15,0.01014157287732916,0.009981162753695871,0.009865882736690527,0.00975345371088185,-0.005975490413056582,0.02663901859116864,1.0007889190183232,9753.914164356107,8890.195550950608
b_seed_density8,-0.003525790813324314,-0.003546374959474241,0.009961986009263726,0.009825264770638857,-0.02004187970787528,0.012713697017641688,1.0005524621009476,9446.77181620133,8704.23541451747
b_botanist_year2018JakobHubersouth,-0.056092636348721484,-0.05511885940876787,0.16669040443406505,0.16756327770847457,-0.3345969319541072,0.21421738572796345,0.9999073127050977,9084.26174040157,8780.921631947365
b_botanist_year2018SimonReithnorth,-0.05913474966262489,-0.05908088301864439,0.01143229778463908,0.01164168001920327,-0.07801866678525174,-0.04057926873154768,1.0003117556217167,6837.636887288943,8168.280346641234
b_botanist_year2018SimonReithsouth,-0.008048214532169471,-0.008905169548016234,0.16662066118410793,0.16648921877917122,-0.28765803995594474,0.2636208898182133,0.9998987793256006,9035.438635130311,8643.74077846504
b_botanist_year2019JakobHubernorth,0.1528223027675334,0.15371573886919165,0.21994565846283412,0.22159711689184755,-0.20771442816698252,0.5171672248966174,1.0001644667862672,9592.370610180558,8462.509700755307
b_botanist_year2019LindaWegglersouth,0.019263973232781447,0.018684354487943255,0.21925554772990352,0.2169434154080274,-0.3390206157402328,0.38281936937529953,1.0001403527529555,9260.321521754164,8636.340201170286
b_botanist_year2019MarkusBauersouth,-0.04450723718756979,-0.04567288012989462,0.2191663026021553,0.21650816726225783,-0.4022894398638318,0.31904106395351683,1.0001442255913766,9262.891254132846,8666.995425318655
b_botanist_year2020JakobHubernorth,0.12722859143209686,0.1285725842024661,0.18374412304675639,0.18363269560227796,-0.1727477898752962,0.4287055308595663,0.999826952938663,8982.997867085323,8466.836637179878
b_botanist_year2020JakobHubersouth,-8.339795879340683e-4,3.190329062074948e-5,0.21477458307404992,0.21431951302379454,-0.3539023180487618,0.35764401421882014,0.9997840891656249,9372.673308229641,8726.753419987821
b_botanist_year2020KatharinaBecknorth,0.08254822785527968,0.08442159270156613,0.1835438477950225,0.1836164311394177,-0.21702103732472003,0.38398704495416525,0.9998394181584874,8979.17285996011,8432.191396200686
b_botanist_year2020KatharinaBecksouth,-0.028529747886142307,-0.028272102491424256,0.21466011030906806,0.2149640627565536,-0.381891362422432,0.3301211013775187,0.9998115988725397,9374.683091370764,8878.388691203972
b_botanist_year2021MarkusBauernorth,0.10328100843906744,0.10093769113318962,0.22481458616191619,0.2221679574815799,-0.2672260163912206,0.4808725288191412,1.0004509136453898,9085.823716142624,8285.245691621421
b_botanist_year2021MarkusBauersouth,0.00585609035247216,0.007202827476665341,0.28530543213864407,0.2833954956694326,-0.4664811327600717,0.47712014895988736,1.0003387327612336,7829.3064706461755,7617.814747516297
b_sand_ratio25:target_typedry_grassland,-0.07974744490883494,-0.079630595773097,0.028000040910200967,0.027700897925385715,-0.12611687853632142,-0.03395463976076715,1.0000891483914274,5063.864209305137,7251.236934014567
b_sand_ratio50:target_typedry_grassland,-0.04443770749030194,-0.0447318467582557,0.02827814036823156,0.028229271656184593,-0.09078276269230995,0.0017818640164668463,1.0001959593220917,5392.372821116834,7661.06702951031
b_sand_ratio25:expositionsouth,-0.16322309158443937,-0.16369607862721647,0.028334231245333984,0.027979175761978736,-0.2095906617747574,-0.1167028805948063,1.0002181069678753,5799.586112302754,8286.09646343596
b_sand_ratio50:expositionsouth,-0.15385200326757012,-0.15425123386718836,0.02795978412060878,0.027867794365739974,-0.199862891717147,-0.10803619084059708,1.000235282567905,6170.077061910179,8254.243052714917
b_target_typedry_grassland:expositionsouth,0.012838028758868884,0.012855555992990264,0.027614136035088697,0.027934936608527357,-0.032506938247782884,0.058647185076803963,1.0005313501582382,5132.197360998805,7435.282933503802
b_sand_ratio25:survey_year_fct2019,-0.13369126760915126,-0.133655475059056,0.024466132393468776,0.02454550568479667,-0.17375920476114656,-0.09313844772607319,1.0000406540574476,6443.467334540754,8098.301084079163
