"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","b_Intercept",0.829525250765192,0.829358448454856,0.0155674013451879,0.0149679740096572,0.803881290191837,0.854713035219411,1.01617702851871,363.524628014359,555.099886896232
"2","b_indexC",-0.511694265277855,-0.511470357486106,0.0153018971714349,0.0148212416831503,-0.538062839826924,-0.486045033505519,1.00881217304817,329.811653800043,718.019425647655
"3","b_indexB",-0.299837758671795,-0.299500601470599,0.0149737930063528,0.0158013622785842,-0.325461701525334,-0.276353701642586,1.00976165226095,298.668881581271,735.927151996569
"4","b_expositionsouth",0.137513072767192,0.137590141868666,0.0193466563158598,0.0192368837783223,0.106870190834796,0.170157612119679,1.0146054971341,225.781947875039,575.085831353072
"5","b_surveyYear_fac2019",-0.251915352773017,-0.252996965372715,0.0158213464643258,0.015551562707573,-0.276466949749598,-0.225600174873493,1.01132832225992,290.117669502028,529.351776845727
"6","b_surveyYear_fac2020",-0.248820496509044,-0.249003937797593,0.0154062594522933,0.0156250725969572,-0.274582678289978,-0.224443311395196,1.01196706246432,324.828781446693,575.844803802193
"7","b_surveyYear_fac2021",-0.193800608767629,-0.19357685196424,0.0166106340211365,0.01618666542163,-0.221328211729908,-0.166987792271711,1.01870376462552,282.333741212654,380.865366060421
"8","b_targetTypedry_grassland",0.0309468571754243,0.03103532313146,0.0173945284932493,0.0177851835137457,0.00255701019525118,0.0594445510033579,1.01534657416546,326.012661829473,669.221723143175
"9","b_sandRatio25",-0.0933002507128165,-0.0935407241340345,0.018255867907514,0.0185005147891994,-0.123266573484988,-0.0627382263056242,1.01492967234724,301.81583907045,708.854650212297
"10","b_sandRatio50",-0.0640997601502712,-0.0643765949204429,0.0182558790538525,0.0185724174175559,-0.0942426006784435,-0.0330051451105725,1.01219679140169,393.368518572712,473.721676998044
"11","b_seedDensity8",-0.0132894786040903,-0.0131679282306023,0.00541737067755645,0.00516365930339981,-0.0226716932939769,-0.00492591657399442,1.00272984445559,591.718918638132,637.45271209371
"12","b_substrateDepth30",-0.000449209239754615,-0.000467249543875782,0.00571031459819817,0.00584341245725379,-0.010142385435576,0.0085934589515307,1.00917197864708,500.674956827728,624.47818920506
"13","b_indexC:expositionsouth",-0.196215096403449,-0.196682259869296,0.020426416018805,0.0206346724021785,-0.230332423233887,-0.162163399324022,1.00483663950901,386.032159446469,580.173518244692
"14","b_indexB:expositionsouth",0.0475118340864501,0.0479923422113706,0.0203915332229384,0.020234433746865,0.0127740609758002,0.0809384088490245,1.01043844315375,269.83713473278,474.08599878152
