"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","b_Intercept",-1.17681491383001,-1.17613510820387,0.0611030540762352,0.0481921696601175,-1.26823014807613,-1.08183592479924,1.00246672312209,1937.44462648639,1268.58632856448
"2","b_target_typedry_grassland",-0.171397640352064,-0.17113174036373,0.038015411359374,0.0379685644585606,-0.234191760038994,-0.109659676064055,1.00036133517193,2231.10854440678,4458.23774511819
"3","b_expositionsouth",-0.384799431347414,-0.384999319347011,0.0381644116695613,0.038238591926138,-0.447317679135349,-0.323323938163378,1.0006684776482,2299.60093063597,4659.44631630734
"4","b_sand_ratio25",0.191231462788498,0.191129037331096,0.0382393295613227,0.0385634709416483,0.128349714399248,0.254558952830242,1.00088499690287,2532.22430871815,5345.08994334642
"5","b_sand_ratio50",0.135175740399096,0.135045887851302,0.0383655677310716,0.038579845854725,0.0715829895962502,0.197435126897184,1.00080879805679,2220.48151604303,3859.55764546385
"6","b_survey_year_fct2019",0.775939555934618,0.775315113244196,0.0915614474335822,0.0693713978140439,0.63213263638691,0.916954578566224,1.0026021879521,2533.48239286133,1296.39885913183
"7","b_survey_year_fct2020",0.870778757689029,0.869823235811035,0.0766764813252391,0.0589810349937944,0.751202047977412,0.993287241229795,1.00195021932246,2722.10871874458,1230.15688038716
"8","b_survey_year_fct2021",0.865879234022189,0.86524042825776,0.0912000219809102,0.0681289786331695,0.726315327367853,1.0028662106935,1.0019529556447,2077.08130850851,1529.95029693683
"9","b_substrate_depth15",0.0147908865037696,0.0146276910320735,0.00939956178313619,0.00951939658193813,-0.00041187114832681,0.0305278082121258,1.00064444153759,6779.16858174254,8012.01811219991
"10","b_seed_density8",0.0139921744111071,0.0140306599959916,0.0092473015930922,0.00910803096694931,-0.00111744785217818,0.0292873158243217,1.0005128740274,7203.99024172771,7125.78963098765
