name,seeded,target,sum
Acer_campestre,NA,NA,4
Acer_platanoides,NA,NA,3
Acer_pseudoplatanus,NA,NA,112
Achillea_millefolium,1,1,399
Aegopodium_podagraria,NA,NA,28
Agrimonia_eupatoria,1,1,91
Agrostis_capillaris,1,1,213
Agrostis_stolonifera,NA,NA,49
Ajuga_reptans,1,1,120
Alchemilla_vulgaris,NA,1,1
Allium_scorodoprasum,NA,1,10
Alopecurus_myosuroides,NA,NA,13
Alopecurus_pratensis,1,1,61
Amaranthus_retroflexus,NA,NA,121
Anagallis_arvensis,NA,NA,4
Angelica_sylvestris,NA,NA,1
Anthericum_ramosum,1,1,38
Anthoxanthum_odoratum,1,1,354
Anthyllis_vulneraria,1,1,184
Apera_spica-venti,NA,NA,1
Arabis_hirsuta,1,1,48
Arenaria_serpyllifolia,NA,NA,322
Arrhenatherum_elatius,1,1,445
Artemisia_vulgaris,NA,NA,18
Asperula_cynanchica,1,1,54
Avena_fatua,NA,NA,2
Barbarea_vulgaris,NA,NA,21
Bellis_perennis,NA,NA,1
Brachypodium_pinnatum,1,1,142
Brassica_napus,NA,NA,1
Brassicaceae,NA,NA,5
Briza_media,1,1,285
Bromus_erectus,1,1,368
Bromus_hordeaceus,NA,1,753
Bromus_inermis,NA,NA,584
Bromus_sterilis,NA,NA,6
Bunias_orientalis,NA,NA,204
Buphthalmum_salicifolium,1,1,75
Calystegia_sepium,NA,NA,494
Campanula_glomerata,1,1,72
Campanula_patula,1,1,60
Campanula_rapunculoides,1,1,45
Campanula_rotundifolia,1,1,46
Capsella_bursa-pastoris,NA,NA,284
Cardamine_hirsuta,NA,NA,1
Carex_acutiformis,NA,1,2
Carex_caryophyllea,NA,1,15
Carex_filiformis,NA,NA,6
Carex_flacca,1,1,75
Carex_hirta,NA,1,131
Carex_leporina,NA,NA,2
Carex_muricata,NA,1,12
Carex_praecox_ssp_praecox,NA,1,7
Carex_spec,NA,NA,11
Carlina_vulgaris,1,1,46
Centaurea_jacea,1,1,148
Centaurea_scabiosa,1,1,224
Centaurea_spec,NA,NA,1
